sep=,
Type,Ticket,Symbol,Lots,Buy/sell,Open price,Close price,Open time,Close time,Open date,Close date,Profit,Swap,Commission,Net profit,T/P,S/L,Pips,Result,Trade duration (hours),Magic number,Order comment,Account
Deposit,67063414,,0,,0,0,2015/10/12 13:51:25,2015/10/12 13:51:25,2015/10/12,2015/10/12,100000,0,0,100000,0,0,0,n/a,0,0,Initial Deposit,jk_5602685819
Closed position,68008253,AUDUSD,0.5,Sell,0.70839,0.70875,2015/10/29 13:06:33,2015/10/29 13:32:58,2015/10/29,2015/10/29,-18,0,0,-18,0.70875,0,-3.6,Loss,0.44,0,[tp],jk_5602685819
Closed position,68010021,EURUSD,0.01,Sell,1.09544,1.0957,2015/10/29 13:36:41,2015/10/29 13:38:37,2015/10/29,2015/10/29,-0.26,0,0,-0.26,0,1.0957,-2.6,Loss,0.03,0,[sl],jk_5602685819
Closed position,68010171,EURUSD,0.01,Buy,1.09599,1.0961,2015/10/29 13:39:39,2015/10/29 13:42:03,2015/10/29,2015/10/29,0.11,0,0,0.11,1.0961,0,1.1,Win,0.04,0,[tp],jk_5602685819
Closed position,68010416,EURUSD,0.7,Buy,1.09592,1.0962,2015/10/29 13:43:02,2015/10/29 13:46:07,2015/10/29,2015/10/29,19.6,0,0,19.6,1.0962,0,2.8,Win,0.05,0,[tp],jk_5602685819
Closed position,68010591,EURUSD,0.7,Buy,1.09649,1.0969,2015/10/29 13:46:55,2015/10/29 13:58:34,2015/10/29,2015/10/29,28.7,0,0,28.7,1.0969,0,4.1,Win,0.19,0,[tp],jk_5602685819
Closed position,68011183,EURUSD,0.7,Buy,1.0972,1.098,2015/10/29 13:59:18,2015/10/29 22:30:08,2015/10/29,2015/10/29,56,0,0,56,0,0,8,Win,8.51,0,,jk_5602685819
Closed position,68099972,EURUSD,2,Sell,1.10624,1.1033,2015/10/30 17:18:38,2015/10/30 19:15:10,2015/10/30,2015/10/30,588,0,0,588,1.1033,1.109,29.4,Win,1.94,0,[tp],jk_5602685819
Closed position,68082492,EURUSD,2,Sell,1.10116,1.104,2015/10/30 13:44:52,2015/11/02 15:37:42,2015/10/30,2015/11/02,-568,-0.6,0,-568.6,1.1,1.104,-28.4,Loss,73.88,0,[sl],jk_5602685819
Closed position,68219659,EURUSD,2,Buy,1.09484,1.096,2015/11/03 18:57:55,2015/11/03 19:33:35,2015/11/03,2015/11/03,232,0,0,232,1.096,1.09,11.6,Win,0.59,0,[tp],jk_5602685819
