sep=,
Type,Ticket,Symbol,Lots,Buy/sell,Open price,Close price,Open time,Close time,Open date,Close date,Profit,Swap,Commission,Net profit,T/P,S/L,Pips,Result,Trade duration (hours),Magic number,Order comment,Account
Deposit,67063773,,0,,0,0,2015/10/12 13:53:27,2015/10/12 13:53:27,2015/10/12,2015/10/12,100000,0,0,100000,0,0,0,n/a,0,0,Initial Deposit,jk_5602615915
Closed position,67928509,CADCHF,0.01,Buy,0.74491,0.74473,2015/10/28 12:21:59,2015/10/28 12:21:59,2015/10/28,2015/10/28,-0.18,0,0,-0.18,0.74473,0.74469,-1.8,Loss,0,0,[tp],jk_5602615915
Closed position,67928591,AUDCAD,0.01,Buy,0.94317,0.94322,2015/10/28 12:24:30,2015/10/28 12:27:04,2015/10/28,2015/10/28,0.03,0,0,0.03,0,0,0.5,Win,0.04,0,,jk_5602615915
Closed position,67928972,AUDJPY,0.03,Buy,85.808,85.815,2015/10/28 12:34:29,2015/10/28 12:36:25,2015/10/28,2015/10/28,0.18,0,0,0.18,0,0,0.7,Win,0.03,0,,jk_5602615915
Closed position,67929027,EURAUD,0.03,Buy,1.54947,1.54998,2015/10/28 12:36:44,2015/10/28 12:40:19,2015/10/28,2015/10/28,1.09,0,0,1.09,0,0,5.1,Win,0.06,0,,jk_5602615915
Closed position,67929316,EURUSD,0.03,Sell,1.1055,1.10547,2015/10/28 12:41:03,2015/10/28 12:41:42,2015/10/28,2015/10/28,0.09,0,0,0.09,0,0,0.3,Win,0.01,0,,jk_5602615915
Closed position,67929366,USDJPY,0.03,Buy,120.315,120.32,2015/10/28 12:42:01,2015/10/28 12:45:26,2015/10/28,2015/10/28,0.12,0,0,0.12,0,0,0.5,Win,0.06,0,,jk_5602615915
Closed position,67929557,USDCAD,0.03,Sell,1.32276,1.32272,2015/10/28 12:45:39,2015/10/28 12:46:13,2015/10/28,2015/10/28,0.09,0,0,0.09,0,0,0.4,Win,0.01,0,,jk_5602615915
Closed position,67929050,AUDCHF,0.03,Buy,0.70208,0.70146,2015/10/28 12:37:34,2015/10/28 12:46:51,2015/10/28,2015/10/28,-1.89,0,0,-1.89,0.70146,0.1,-6.2,Loss,0.15,0,[tp],jk_5602615915
Closed position,67929452,CADCHF,0.03,Buy,0.74352,0.74379,2015/10/28 12:44:59,2015/10/28 12:46:56,2015/10/28,2015/10/28,0.83,0,0,0.83,0,0,2.7,Win,0.03,0,,jk_5602615915
Closed position,67929371,AUDUSD,0.03,Sell,0.71306,0.713,2015/10/28 12:42:10,2015/10/28 12:48:09,2015/10/28,2015/10/28,0.18,0,0,0.18,0,0,0.6,Win,0.1,0,,jk_5602615915
Closed position,67929658,USDCHF,0.03,Buy,0.98442,0.98446,2015/10/28 12:48:49,2015/10/28 12:50:12,2015/10/28,2015/10/28,0.12,0,0,0.12,0,0,0.4,Win,0.02,0,,jk_5602615915
Closed position,67929085,USDCHF,0.03,Buy,0.98446,0.98451,2015/10/28 12:38:28,2015/10/28 12:50:20,2015/10/28,2015/10/28,0.15,0,0,0.15,0,0,0.5,Win,0.2,0,,jk_5602615915
Closed position,67929742,EURUSD,0.03,Sell,1.10522,1.10519,2015/10/28 12:50:36,2015/10/28 12:51:23,2015/10/28,2015/10/28,0.09,0,0,0.09,0,0,0.3,Win,0.01,0,,jk_5602615915
Closed position,67929062,USDJPY,0.03,Buy,120.352,120.356,2015/10/28 12:38:05,2015/10/28 12:51:29,2015/10/28,2015/10/28,0.1,0,0,0.1,0,0,0.4,Win,0.22,0,,jk_5602615915
Closed position,67929638,USDCAD,0.03,Buy,1.3228,1.32292,2015/10/28 12:47:56,2015/10/28 12:52:21,2015/10/28,2015/10/28,0.27,0,0,0.27,0,0,1.2,Win,0.07,0,,jk_5602615915
Closed position,67929648,USDCAD,0.03,Buy,1.3228,1.32291,2015/10/28 12:48:19,2015/10/28 12:52:30,2015/10/28,2015/10/28,0.25,0,0,0.25,0,0,1.1,Win,0.07,0,,jk_5602615915
