sep=,
Type,Ticket,Symbol,Lots,Buy/sell,Open price,Close price,Open time,Close time,Open date,Close date,Profit,Swap,Commission,Net profit,T/P,S/L,Pips,Result,Trade duration (hours),Magic number,Order comment,Account
Deposit,67061140,,0,,0,0,2015/10/12 13:30:58,2015/10/12 13:30:58,2015/10/12,2015/10/12,100000,0,0,100000,0,0,0,n/a,0,0,Initial Deposit,jk_5602615147
Closed position,67864509,EURUSD,0.05,Buy,1.10564,1.10404,2015/10/27 11:06:17,2015/10/27 12:04:43,2015/10/27,2015/10/27,-8,0,0,-8,0,0,-16.0,Loss,0.97,0,,jk_5602615147
Closed position,67870399,EURUSD,0.19,Sell,1.1042,1.10538,2015/10/27 13:03:04,2015/10/27 13:30:10,2015/10/27,2015/10/27,-22.42,0,0,-22.42,0,0,-11.8,Loss,0.45,0,,jk_5602615147
Closed position,67870322,EURUSD,0.09,Sell,1.10439,1.10751,2015/10/27 13:01:29,2015/10/27 15:32:13,2015/10/27,2015/10/27,-28.08,0,0,-28.08,0,0,-31.2,Loss,2.51,0,,jk_5602615147
Closed position,67865694,EURUSD,0.05,Sell,1.10517,1.1068,2015/10/27 11:25:21,2015/10/27 15:39:02,2015/10/27,2015/10/27,-8.15,0,0,-8.15,0,0,-16.3,Loss,4.23,0,,jk_5602615147
Closed position,67863695,AUDJPY,0.01,Buy,87.336,87.065,2015/10/27 10:54:23,2015/10/27 15:39:11,2015/10/27,2015/10/27,-2.26,0,0,-2.26,0,0,-27.1,Loss,4.75,0,,jk_5602615147
Closed position,67871371,AUDJPY,0.19,Sell,87.176,86.883,2015/10/27 13:30:36,2015/10/27 17:40:29,2015/10/27,2015/10/27,46.27,0,0,46.27,0,0,29.3,Win,4.16,0,,jk_5602615147
Closed position,67878103,AUDCHF,0.1,Sell,0.71143,0.71072,2015/10/27 15:41:41,2015/10/27 17:41:16,2015/10/27,2015/10/27,7.21,0,0,7.21,0,0,7.1,Win,1.99,0,,jk_5602615147
Closed position,67893323,AUDJPY,0.41,Buy,86.996,86.841,2015/10/27 18:49:35,2015/10/27 19:18:37,2015/10/27,2015/10/27,-52.84,0,0,-52.84,0,0,-15.5,Loss,0.48,0,,jk_5602615147
Closed position,67889976,AUDJPY,0.19,Sell,86.868,86.822,2015/10/27 17:41:06,2015/10/27 19:24:17,2015/10/27,2015/10/27,7.27,0,0,7.27,0,0,4.6,Win,1.72,0,,jk_5602615147
Closed position,67890011,AUDCHF,0.1,Sell,0.71061,0.71144,2015/10/27 17:42:07,2015/10/27 19:32:19,2015/10/27,2015/10/27,-8.42,0,0,-8.42,0,0,-8.3,Loss,1.84,0,,jk_5602615147
Closed position,67872258,EURUSD,0.07,Buy,1.10542,1.1041,2015/10/27 13:56:11,2015/10/27 19:32:55,2015/10/27,2015/10/27,-9.24,0,0,-9.24,0,0,-13.2,Loss,5.61,0,,jk_5602615147
Closed position,67890658,AUDJPY,0.03,Buy,86.943,86.813,2015/10/27 17:54:56,2015/10/27 19:33:12,2015/10/27,2015/10/27,-3.24,0,0,-3.24,0,0,-13.0,Loss,1.64,0,,jk_5602615147
Closed position,67891519,EURUSD,0.06,Sell,1.1037,1.10425,2015/10/27 18:05:00,2015/10/27 19:33:23,2015/10/27,2015/10/27,-3.3,0,0,-3.3,0,0,-5.5,Loss,1.47,0,,jk_5602615147
Closed position,67893253,AUDUSD,0.07,Buy,0.72238,0.72146,2015/10/27 18:47:50,2015/10/27 19:34:12,2015/10/27,2015/10/27,-6.44,0,0,-6.44,0,0,-9.2,Loss,0.77,0,,jk_5602615147
