sep=,
Type,Ticket,Symbol,Lots,Buy/sell,Open price,Close price,Open time,Close time,Open date,Close date,Profit,Swap,Commission,Net profit,T/P,S/L,Pips,Result,Trade duration (hours),Magic number,Order comment,Account
Open position,75105448,AUDCAD,8,Buy,0.99649,0.99216,2016/03/23 18:17:45,1970/01/01 00:00:00,2016/03/23,1970/01/01,-2755.22,4390.59,0,1635.37,0,0,-43.3,Win,0,0,,jk_5602615238
Deposit,67061983,,0,,0,0,2015/10/12 13:41:13,2015/10/12 13:41:13,2015/10/12,2015/10/12,100000,0,0,100000,0,0,0,n/a,0,0,Initial Deposit,jk_5602615238
Closed position,67837188,USDCHF,1,Sell,0.98171,0.98188,2015/10/26 19:39:29,2015/10/26 19:40:55,2015/10/26,2015/10/26,-17.31,0,0,-17.31,0,0,-1.7,Loss,0.02,0,,jk_5602615238
Closed position,67837084,USDCHF,1,Buy,0.98142,0.98169,2015/10/26 19:34:53,2015/10/26 19:41:09,2015/10/26,2015/10/26,27.5,0,0,27.5,0,0,2.7,Win,0.1,0,,jk_5602615238
Closed position,67837756,EURUSD,2,Buy,1.10537,1.10632,2015/10/26 19:54:38,2015/10/26 20:09:34,2015/10/26,2015/10/26,190,0,0,190,0,0,9.5,Win,0.25,0,,jk_5602615238
Closed position,67838557,EURUSD,2,Sell,1.10638,1.10636,2015/10/26 20:08:44,2015/10/26 20:11:11,2015/10/26,2015/10/26,4,0,0,4,0,0,0.2,Win,0.04,0,,jk_5602615238
Closed position,67834881,EURUSD,0.05,Buy,1.10471,1.10634,2015/10/26 18:44:22,2015/10/26 20:11:37,2015/10/26,2015/10/26,8.15,0,0,8.15,0,0,16.3,Win,1.45,0,,jk_5602615238
Closed position,67836637,EURSEK,0.05,Buy,9.39443,9.40135,2015/10/26 19:20:31,2015/10/26 20:11:45,2015/10/26,2015/10/26,4.07,0,0,4.07,0,0,69.2,Win,0.85,0,,jk_5602615238
Closed position,67834782,EURUSD,0.03,Buy,1.10529,1.10644,2015/10/26 18:41:11,2015/10/26 20:11:48,2015/10/26,2015/10/26,3.45,0,0,3.45,0,0,11.5,Win,1.51,0,,jk_5602615238
Closed position,67838361,GBPCHF,2,Buy,1.50908,1.50917,2015/10/26 20:05:21,2015/10/26 20:13:44,2015/10/26,2015/10/26,18.33,0,0,18.33,0,0,0.9,Win,0.14,0,,jk_5602615238
