sep=,
Type,Ticket,Symbol,Lots,Buy/sell,Open price,Close price,Open time,Close time,Open date,Close date,Profit,Swap,Commission,Net profit,T/P,S/L,Pips,Result,Trade duration (hours),Magic number,Order comment,Account
Deposit,67061438,,0,,0,0,2015/10/12 13:36:31,2015/10/12 13:36:31,2015/10/12,2015/10/12,100000,0,0,100000,0,0,0,n/a,0,0,Initial Deposit,jk_5602525148
Closed position,67818502,AUDUSD,1,Sell,0.72541,0.72584,2015/10/26 14:15:28,2015/10/26 14:17:48,2015/10/26,2015/10/26,-43,0,0,-43,0.01,0,-4.3,Loss,0.04,0,,jk_5602525148
Closed position,67812852,AUDCAD,1,Buy,0.95412,0.95421,2015/10/26 12:08:05,2015/10/26 15:22:05,2015/10/26,2015/10/26,6.85,0,0,6.85,0,0.01,0.9,Win,3.23,0,,jk_5602525148
Closed position,67818569,AUDUSD,1,Buy,0.72587,0.72627,2015/10/26 14:18:05,2015/10/26 15:23:53,2015/10/26,2015/10/26,40,0,0,40,0,0.01,4.0,Win,1.1,0,,jk_5602525148
Closed position,67812176,EURUSD,1,Buy,1.10419,1.1022,2015/10/26 11:59:00,2015/10/26 16:47:39,2015/10/26,2015/10/26,-199,0,0,-199,0,0.01,-19.9,Loss,4.81,0,,jk_5602525148
Closed position,67904242,EURUSD,1,Buy,1.10414,1.10382,2015/10/27 23:34:16,2015/10/28 11:31:32,2015/10/27,2015/10/28,-32,-2.8,0,-34.8,0,0.01,-3.2,Loss,11.95,0,,jk_5602525148
Closed position,67923325,EURUSD,1,Sell,1.10414,1.09245,2015/10/28 11:30:29,2015/10/28 21:35:06,2015/10/28,2015/10/28,1169,0,0,1169,0,0,116.9,Win,10.08,0,,jk_5602525148
Closed position,67938388,EURUSD,1,Sell,1.10776,1.09239,2015/10/28 15:46:41,2015/10/28 21:35:51,2015/10/28,2015/10/28,1537,0,0,1537,0.01,0,153.7,Win,5.82,0,,jk_5602525148
Closed position,67968797,EURUSD,1,Buy,1.092,1.09313,2015/10/28 21:36:54,2015/10/29 16:03:15,2015/10/28,2015/10/29,113,-8.4,0,104.6,0,0.01,11.3,Win,18.44,0,,jk_5602525148
Closed position,67971370,EURUSD,1,Buy,1.09026,1.09634,2015/10/28 21:57:38,2015/10/29 17:46:31,2015/10/28,2015/10/29,608,-8.4,0,599.6,0,0.01,60.8,Win,19.81,0,,jk_5602525148
Closed position,68292432,AUDJPY,0.01,Sell,86.794,86.827,2015/11/05 04:57:49,2015/11/05 04:58:33,2015/11/05,2015/11/05,-0.27,0,0,-0.27,0,0,-3.3,Loss,0.01,0,,jk_5602525148
Closed position,68300667,EURUSD,0.01,Buy,1.08448,1.08793,2015/11/05 10:04:39,2015/11/05 15:01:47,2015/11/05,2015/11/05,3.45,0,0,3.45,0,0,34.5,Win,4.95,0,,jk_5602525148
