sep=,
Type,Ticket,Symbol,Lots,Buy/sell,Open price,Close price,Open time,Close time,Open date,Close date,Profit,Swap,Commission,Net profit,T/P,S/L,Pips,Result,Trade duration (hours),Magic number,Order comment,Account
Deposit,67062392,,0,,0,0,2015/10/12 13:44:24,2015/10/12 13:44:24,2015/10/12,2015/10/12,100000,0,0,100000,0,0,0,n/a,0,0,Initial Deposit,jk_5602686106
Closed position,67856822,AUDCAD,1,Buy,0.95295,0.95275,2015/10/27 07:26:23,2015/10/27 07:27:11,2015/10/27,2015/10/27,-15.19,0,0,-15.19,0.953,0.95275,-2.0,Loss,0.01,0,[sl],jk_5602686106
Closed position,67856877,AUDCAD,1,Buy,0.95271,0.95264,2015/10/27 07:27:49,2015/10/27 07:28:13,2015/10/27,2015/10/27,-5.32,0,0,-5.32,0,0.95264,-0.7,Loss,0.01,0,[sl],jk_5602686106
Closed position,67856880,AUDCAD,1,Sell,0.95273,0.95263,2015/10/27 07:28:23,2015/10/27 07:31:03,2015/10/27,2015/10/27,7.59,0,0,7.59,0.95263,0.95286,1.0,Win,0.04,0,[tp],jk_5602686106
Closed position,67857021,AUDCAD,1,Sell,0.95267,0.95288,2015/10/27 07:34:49,2015/10/27 07:36:37,2015/10/27,2015/10/27,-15.94,0,0,-15.94,0.95255,0.95288,-2.1,Loss,0.03,0,[sl],jk_5602686106
Closed position,67857083,AUDCAD,1,Buy,0.95277,0.95248,2015/10/27 07:39:52,2015/10/27 07:40:46,2015/10/27,2015/10/27,-22.02,0,0,-22.02,0.9528,0.95248,-2.9,Loss,0.02,0,[sl],jk_5602686106
Closed position,67857107,AUDCAD,1,Buy,0.95266,0.95238,2015/10/27 07:41:52,2015/10/27 07:47:25,2015/10/27,2015/10/27,-21.26,0,0,-21.26,0.95275,0.95238,-2.8,Loss,0.09,0,[sl],jk_5602686106
Closed position,67857199,EURUSD,1,Buy,1.10639,1.10618,2015/10/27 07:48:55,2015/10/27 07:49:35,2015/10/27,2015/10/27,-21,0,0,-21,1.10635,1.10618,-2.1,Loss,0.01,0,[sl],jk_5602686106
Closed position,67857250,EURUSD,1,Buy,1.10636,1.10617,2015/10/27 07:50:57,2015/10/27 08:04:56,2015/10/27,2015/10/27,-19,0,0,-19,1.10639,1.10617,-1.9,Loss,0.23,0,[sl],jk_5602686106
Closed position,67857562,EURUSD,1,Buy,1.10617,1.10621,2015/10/27 08:06:17,2015/10/27 08:11:57,2015/10/27,2015/10/27,4,0,0,4,1.10621,1.10599,0.4,Win,0.09,0,[tp],jk_5602686106
Closed position,67857742,EURUSD,1,Sell,1.10624,1.10614,2015/10/27 08:13:26,2015/10/27 08:16:32,2015/10/27,2015/10/27,10,0,0,10,1.10614,1.1064,1.0,Win,0.05,0,[tp],jk_5602686106
Closed position,67857845,EURUSD,1,Buy,1.10609,1.10592,2015/10/27 08:16:58,2015/10/27 08:20:21,2015/10/27,2015/10/27,-17,0,0,-17,1.10619,1.10592,-1.7,Loss,0.06,0,[sl],jk_5602686106
Closed position,67857978,EURUSD,1,Buy,1.10597,1.10612,2015/10/27 08:22:35,2015/10/27 08:25:39,2015/10/27,2015/10/27,15,0,0,15,1.10612,1.10589,1.5,Win,0.05,0,[tp],jk_5602686106
Closed position,67858082,EURUSD,1,Sell,1.10616,1.10635,2015/10/27 08:26:24,2015/10/27 08:29:07,2015/10/27,2015/10/27,-19,0,0,-19,1.10603,1.10635,-1.9,Loss,0.05,0,[sl],jk_5602686106
Closed position,67858142,EURUSD,1,Sell,1.10627,1.10642,2015/10/27 08:29:37,2015/10/27 08:36:39,2015/10/27,2015/10/27,-15,0,0,-15,1.10606,1.10642,-1.5,Loss,0.12,0,[sl],jk_5602686106
Closed position,67858439,EURUSD,1,Sell,1.10638,1.10657,2015/10/27 08:37:04,2015/10/27 08:40:27,2015/10/27,2015/10/27,-19,0,0,-19,1.10624,1.10657,-1.9,Loss,0.06,0,[sl],jk_5602686106
Closed position,67858575,EURUSD,1,Sell,1.10646,1.10664,2015/10/27 08:40:41,2015/10/27 08:42:02,2015/10/27,2015/10/27,-18,0,0,-18,1.1063,1.10664,-1.8,Loss,0.02,0,[sl],jk_5602686106
Closed position,67858648,EURUSD,1,Sell,1.10666,1.10662,2015/10/27 08:42:21,2015/10/27 08:48:01,2015/10/27,2015/10/27,4,0,0,4,1.10636,1.10662,0.4,Win,0.09,0,[sl],jk_5602686106
Closed position,67858817,EURUSD,1,Buy,1.1066,1.10637,2015/10/27 08:48:51,2015/10/27 08:51:00,2015/10/27,2015/10/27,-23,0,0,-23,1.10665,1.10637,-2.3,Loss,0.04,0,[sl],jk_5602686106
Closed position,67858885,EURUSD,1,Buy,1.10648,1.10631,2015/10/27 08:51:22,2015/10/27 08:52:38,2015/10/27,2015/10/27,-17,0,0,-17,1.10652,1.10631,-1.7,Loss,0.02,0,[sl],jk_5602686106
Closed position,67858950,AUDCAD,1,Sell,0.95275,0.95297,2015/10/27 08:53:54,2015/10/27 08:54:42,2015/10/27,2015/10/27,-16.71,0,0,-16.71,0.95259,0.95297,-2.2,Loss,0.01,0,[sl],jk_5602686106
Closed position,67858978,AUDCAD,1,Sell,0.95279,0.95317,2015/10/27 08:54:52,2015/10/27 08:58:05,2015/10/27,2015/10/27,-28.86,0,0,-28.86,0.95276,0.95317,-3.8,Loss,0.05,0,[sl],jk_5602686106
Closed position,67859083,AUDCAD,1,Sell,0.95304,0.95325,2015/10/27 08:58:17,2015/10/27 09:01:02,2015/10/27,2015/10/27,-15.95,0,0,-15.95,0.95283,0.95325,-2.1,Loss,0.05,0,[sl],jk_5602686106
Closed position,67859348,AUDJPY,1,Sell,87.336,87.361,2015/10/27 09:02:53,2015/10/27 09:03:54,2015/10/27,2015/10/27,-20.73,0,0,-20.73,87.326,87.361,-2.5,Loss,0.02,0,[sl],jk_5602686106
Closed position,67859373,CADJPY,1,Sell,91.615,91.64,2015/10/27 09:04:15,2015/10/27 09:05:05,2015/10/27,2015/10/27,-20.73,0,0,-20.73,91.616,91.64,-2.5,Loss,0.01,0,[sl],jk_5602686106
Closed position,67859425,USDJPY,1,Sell,120.635,120.648,2015/10/27 09:06:10,2015/10/27 09:08:29,2015/10/27,2015/10/27,-10.78,0,0,-10.78,120.617,120.648,-1.3,Loss,0.04,0,[sl],jk_5602686106
Closed position,67859648,EURUSD,1,Buy,1.10614,1.1062,2015/10/27 09:10:05,2015/10/27 09:12:30,2015/10/27,2015/10/27,6,0,0,6,1.1062,1.10605,0.6,Win,0.04,0,[tp],jk_5602686106
