sep=,
Type,Ticket,Symbol,Lots,Buy/sell,Open price,Close price,Open time,Close time,Open date,Close date,Profit,Swap,Commission,Net profit,T/P,S/L,Pips,Result,Trade duration (hours),Magic number,Order comment,Account
Deposit,117346798,,0,,0,0,2014/10/09 20:10:29,2014/10/09 20:10:29,2014/10/09,2014/10/09,10000,0,0,10000,0,0,0,n/a,0,0,Deposit,a0_5502615338
Closed position,118035860,EURUSD,0.01,Buy,1.25196,1.25551,2014/11/04 15:48:34,2014/11/05 02:59:59,2014/11/04,2014/11/05,3.55,-0.01,0,3.54,0,0,35.5,Win,11.19,0,,a0_5502615338
Closed position,118061351,EURUSD,0.01,Sell,1.25422,1.25068,2014/11/05 08:01:12,2014/11/05 10:52:20,2014/11/05,2014/11/05,3.54,0,0,3.54,0,0,35.4,Win,2.85,0,,a0_5502615338
Closed position,118062155,EURUSD,0.01,Sell,1.25363,1.25068,2014/11/05 08:20:06,2014/11/05 10:52:27,2014/11/05,2014/11/05,2.95,0,0,2.95,0,0,29.5,Win,2.54,0,,a0_5502615338
Closed position,118027839,GBPUSD,0.01,Sell,1.59821,1.59486,2014/11/04 11:47:41,2014/11/05 10:52:31,2014/11/04,2014/11/05,3.35,-0.03,0,3.32,0,0,33.5,Win,23.08,0,,a0_5502615338
Closed position,118068965,EURUSD,0.01,Sell,1.25043,1.24824,2014/11/05 10:52:46,2014/11/05 18:10:57,2014/11/05,2014/11/05,2.19,0,0,2.19,0,0,21.9,Win,7.3,0,,a0_5502615338
Closed position,118120634,USDJPY,0.01,Sell,114.615,114.357,2014/11/06 06:30:33,2014/11/06 07:53:34,2014/11/06,2014/11/06,2.26,0,0,2.26,0,0,25.8,Win,1.38,0,,a0_5502615338
Closed position,118130698,NZDUSD,0.01,Sell,0.7736,0.77236,2014/11/06 10:41:31,2014/11/06 16:22:04,2014/11/06,2014/11/06,1.24,0,0,1.24,0,0,12.4,Win,5.68,0,,a0_5502615338
Closed position,118130718,USDJPY,0.01,Buy,114.631,114.79,2014/11/06 10:42:05,2014/11/06 16:33:12,2014/11/06,2014/11/06,1.39,0,0,1.39,0,0,15.9,Win,5.85,0,,a0_5502615338
Closed position,118153560,USDJPY,0.05,Sell,114.698,114.665,2014/11/06 16:22:42,2014/11/06 16:50:35,2014/11/06,2014/11/06,1.44,0,0,1.44,0,0,3.3,Win,0.46,0,,a0_5502615338
Closed position,118137106,USDJPY,0.2,Sell,114.611,114.561,2014/11/06 13:18:41,2014/11/06 17:02:22,2014/11/06,2014/11/06,8.73,0,0,8.73,0,0,5.0,Win,3.73,0,,a0_5502615338
Closed position,118131943,USDJPY,0.01,Sell,114.571,114.57,2014/11/06 11:17:29,2014/11/06 17:02:58,2014/11/06,2014/11/06,0.01,0,0,0.01,0,0,0.1,Win,5.76,0,,a0_5502615338
Closed position,118153676,GOLD,0.01,Buy,1144.9,1146.3,2014/11/06 16:24:31,2014/11/06 17:58:57,2014/11/06,2014/11/06,1.4,0,0,1.4,0,0,14,Win,1.57,0,,a0_5502615338
Closed position,118154157,GBPUSD,0.01,Sell,1.59009,1.5863,2014/11/06 16:33:50,2014/11/06 18:38:06,2014/11/06,2014/11/06,3.79,0,0,3.79,0,0,37.9,Win,2.07,0,,a0_5502615338
Closed position,118212286,NZDUSD,0.2,Buy,0.77324,0.7734,2014/11/07 17:35:24,2014/11/07 18:58:36,2014/11/07,2014/11/07,3.2,0,0,3.2,0,0,1.6,Win,1.39,0,,a0_5502615338
