sep=,
Type,Ticket,Symbol,Lots,Buy/sell,Open price,Close price,Open time,Close time,Open date,Close date,Profit,Swap,Commission,Net profit,T/P,S/L,Pips,Result,Trade duration (hours),Magic number,Order comment,Account
Deposit,117357403,,0,,0,0,2014/10/10 08:21:57,2014/10/10 08:21:57,2014/10/10,2014/10/10,10000,0,0,10000,0,0,0,n/a,0,0,Deposit,a0_5502615627
Closed position,118122577,EURUSD,0.1,Buy,1.25153,1.25157,2014/11/06 07:12:23,2014/11/06 07:15:57,2014/11/06,2014/11/06,0.4,0,0,0.4,0,0,0.4,Win,0.06,0,,a0_5502615627
Closed position,118122909,EURUSD,0.3,Sell,1.25179,1.252,2014/11/06 07:20:52,2014/11/06 07:20:52,2014/11/06,2014/11/06,-6.3,0,0,-6.3,0,1.252,-2.1,Loss,0,0,sl,a0_5502615627
Closed position,118123214,EURUSD,0.5,Sell,1.25249,1.25227,2014/11/06 07:23:39,2014/11/06 07:35:36,2014/11/06,2014/11/06,11,0,0,11,0,0,2.2,Win,0.2,0,,a0_5502615627
Closed position,118123862,EURUSD,0.8,Sell,1.25204,1.25198,2014/11/06 07:37:16,2014/11/06 08:16:57,2014/11/06,2014/11/06,4.8,0,0,4.8,0,0,0.6,Win,0.66,0,,a0_5502615627
Closed position,118132984,EURUSD,1.5,Sell,1.25088,1.25078,2014/11/06 11:46:25,2014/11/06 11:47:38,2014/11/06,2014/11/06,15,0,0,15,0,0,1.0,Win,0.02,0,,a0_5502615627
Closed position,118133160,EURUSD,2,Sell,1.25102,1.25096,2014/11/06 11:50:41,2014/11/06 11:53:22,2014/11/06,2014/11/06,12,0,0,12,0,0,0.6,Win,0.04,0,,a0_5502615627
Closed position,118128203,EURUSD,1,Buy,1.25131,1.25158,2014/11/06 09:44:08,2014/11/06 12:20:19,2014/11/06,2014/11/06,27,0,0,27,0,0,2.7,Win,2.6,0,,a0_5502615627
Closed position,118133695,EURUSD,2,Sell,1.25102,1.25078,2014/11/06 12:01:28,2014/11/06 12:34:29,2014/11/06,2014/11/06,48,0,0,48,0,0,2.4,Win,0.55,0,,a0_5502615627
Closed position,118135128,EURUSD,3,Buy,1.251,1.25125,2014/11/06 12:40:34,2014/11/06 12:43:21,2014/11/06,2014/11/06,75,0,0,75,0,0,2.5,Win,0.05,0,,a0_5502615627
Closed position,118135577,EURUSD,3,Sell,1.25215,1.25182,2014/11/06 12:46:07,2014/11/06 12:55:10,2014/11/06,2014/11/06,99,0,0,99,0,0,3.3,Win,0.15,0,,a0_5502615627
Closed position,118231198,EURUSD,1,Sell,1.24787,1.24784,2014/11/10 08:22:27,2014/11/10 08:50:56,2014/11/10,2014/11/10,3,0,0,3,0,0,0.3,Win,0.47,0,,a0_5502615627
Closed position,118231394,EURUSD,1,Sell,1.24824,1.24782,2014/11/10 08:28:21,2014/11/10 08:51:02,2014/11/10,2014/11/10,42,0,0,42,0,0,4.2,Win,0.38,0,,a0_5502615627
Closed position,118232211,EURUSD,1,Buy,1.24746,1.24781,2014/11/10 09:00:14,2014/11/10 11:11:02,2014/11/10,2014/11/10,35,0,0,35,0,0,3.5,Win,2.18,0,,a0_5502615627
Closed position,118232062,EURUSD,1,Buy,1.24752,1.24796,2014/11/10 08:56:08,2014/11/10 11:13:40,2014/11/10,2014/11/10,44,0,0,44,0,0,4.4,Win,2.29,0,,a0_5502615627
Closed position,118233522,EURUSD,1,Sell,1.24701,1.2484,2014/11/10 09:33:41,2014/11/10 14:03:09,2014/11/10,2014/11/10,-139,0,0,-139,0,0,-13.9,Loss,4.49,0,,a0_5502615627
Closed position,118237482,EURUSD,1,Sell,1.24755,1.24834,2014/11/10 11:06:24,2014/11/10 14:21:11,2014/11/10,2014/11/10,-79,0,0,-79,0,0,-7.9,Loss,3.25,0,,a0_5502615627
