sep=,
Type,Ticket,Symbol,Lots,Buy/sell,Open price,Close price,Open time,Close time,Open date,Close date,Profit,Swap,Commission,Net profit,T/P,S/L,Pips,Result,Trade duration (hours),Magic number,Order comment,Account
Deposit,117357398,,0,,0,0,2014/10/10 08:21:39,2014/10/10 08:21:39,2014/10/10,2014/10/10,10000,0,0,10000,0,0,0,n/a,0,0,Deposit,a0_5502685653
Closed position,118058657,USDJPY,5.1,Buy,113.785,113.828,2014/11/05 06:15:16,2014/11/05 06:16:48,2014/11/05,2014/11/05,192.66,0,0,192.66,0,0,4.3,Win,0.03,0,,a0_5502685653
Closed position,118160951,GBPUSD,5.1,Buy,1.58864,1.5874,2014/11/06 18:19:54,2014/11/06 18:20:33,2014/11/06,2014/11/06,-632.4,0,0,-632.4,0,0,-12.4,Loss,0.01,0,,a0_5502685653
Closed position,118161093,GBPUSD,1.3,Buy,1.58769,1.58733,2014/11/06 18:21:59,2014/11/06 18:22:21,2014/11/06,2014/11/06,-46.8,0,0,-46.8,0,1.58733,-3.6,Loss,0.01,0,sl,a0_5502685653
Closed position,118058762,EURUSD,5.1,Buy,1.25601,1.23879,2014/11/05 06:17:59,2014/11/06 20:17:52,2014/11/05,2014/11/06,-8782.2,-17.6,0,-8799.8,0,0,-172.2,Loss,38,0,so: 19.4% 316.6/1630.4,a0_5502685653
Closed position,118161118,GBPUSD,1.1,Buy,1.58758,1.5817,2014/11/06 18:22:43,2014/11/07 06:42:12,2014/11/06,2014/11/07,-646.8,-0.04,0,-646.84,0,0,-58.8,Loss,12.32,0,so: 19.1% 66.8/349.3,a0_5502685653
