sep=,
Type,Ticket,Symbol,Lots,Buy/sell,Open price,Close price,Open time,Close time,Open date,Close date,Profit,Swap,Commission,Net profit,T/P,S/L,Pips,Result,Trade duration (hours),Magic number,Order comment,Account
Deposit,117348199,,0,,0,0,2014/10/09 21:09:58,2014/10/09 21:09:58,2014/10/09,2014/10/09,10000,0,0,10000,0,0,0,n/a,0,0,Deposit,a0_5401610455
Closed position,118058858,NZDUSD,2.61,Buy,0.78214,0.78183,2014/11/05 06:23:49,2014/11/05 06:24:00,2014/11/05,2014/11/05,-80.91,0,0,-80.91,0,0,-3.1,Loss,0,0,,a0_5401610455
Closed position,118058881,NZDUSD,2.61,Sell,0.78182,0.7734,2014/11/05 06:24:04,2014/11/05 12:17:27,2014/11/05,2014/11/05,2197.62,0,0,2197.62,0,0,84.2,Win,5.89,0,,a0_5401610455
Closed position,118074760,NZDUSD,2.61,Sell,0.77439,0.7717,2014/11/05 12:27:29,2014/11/05 16:29:04,2014/11/05,2014/11/05,702.09,0,0,702.09,0,0,26.9,Win,4.03,0,,a0_5401610455
Closed position,118074784,NZDUSD,2.61,Sell,0.77435,0.77172,2014/11/05 12:27:41,2014/11/05 16:29:09,2014/11/05,2014/11/05,686.43,0,0,686.43,0,0,26.3,Win,4.02,0,,a0_5401610455
Closed position,118058856,NZDUSD,0.01,Sell,0.78199,0.77181,2014/11/05 06:23:38,2014/11/05 16:29:45,2014/11/05,2014/11/05,10.18,0,0,10.18,0,0,101.8,Win,10.1,0,,a0_5401610455
Closed position,118086811,AUDUSD,0.85,Sell,0.85898,0.85889,2014/11/05 16:29:26,2014/11/05 16:38:33,2014/11/05,2014/11/05,7.65,0,0,7.65,0,0,0.9,Win,0.15,0,,a0_5401610455
Closed position,118086922,USDCAD,10,Sell,1.14306,1.1408,2014/11/05 16:32:00,2014/11/05 17:45:56,2014/11/05,2014/11/05,1981.07,0,0,1981.07,0,0,22.6,Win,1.23,0,,a0_5401610455
Closed position,118093384,USDJPY,10,Buy,114.615,114.63,2014/11/05 18:12:07,2014/11/05 19:56:11,2014/11/05,2014/11/05,130.86,0,0,130.86,114.63,0,1.5,Win,1.73,0,tp,a0_5401610455
Closed position,118108356,AUDUSD,10,Buy,0.85663,0.85775,2014/11/06 02:49:33,2014/11/06 03:43:50,2014/11/06,2014/11/06,1120,0,0,1120,0.85775,0,11.2,Win,0.9,0,tp,a0_5401610455
Closed position,118108401,EURUSD,5,Buy,1.24783,1.24852,2014/11/06 02:51:05,2014/11/06 03:44:16,2014/11/06,2014/11/06,345,0,0,345,0,0,6.9,Win,0.89,0,,a0_5401610455
Closed position,118112448,USDJPY,5,Sell,114.89,114.786,2014/11/06 03:45:46,2014/11/06 04:15:01,2014/11/06,2014/11/06,453.02,0,0,453.02,0,0,10.4,Win,0.49,0,,a0_5401610455
Closed position,118115185,GBPUSD,5,Buy,1.59686,1.59719,2014/11/06 04:29:29,2014/11/06 06:28:07,2014/11/06,2014/11/06,165,0,0,165,0,0,3.3,Win,1.98,0,,a0_5401610455
Closed position,118120587,AUDUSD,5,Buy,0.85915,0.86004,2014/11/06 06:29:35,2014/11/06 07:06:36,2014/11/06,2014/11/06,445,0,0,445,0,0,8.9,Win,0.62,0,,a0_5401610455
Closed position,118075298,NZDUSD,2.61,Buy,0.77394,0.77286,2014/11/05 12:44:30,2014/11/06 07:08:41,2014/11/05,2014/11/06,-281.88,54.65,0,-227.23,0,0,-10.8,Loss,18.4,0,,a0_5401610455
Closed position,118122426,EURUSD,3,Buy,1.25126,1.25181,2014/11/06 07:07:51,2014/11/06 07:18:54,2014/11/06,2014/11/06,165,0,0,165,0,0,5.5,Win,0.18,0,,a0_5401610455
Closed position,118122916,EURUSD,3,Buy,1.25162,1.25245,2014/11/06 07:19:26,2014/11/06 07:21:15,2014/11/06,2014/11/06,249,0,0,249,0,0,8.3,Win,0.03,0,,a0_5401610455
Closed position,118126291,AUDUSD,3,Buy,0.86134,0.86256,2014/11/06 08:49:39,2014/11/06 09:39:08,2014/11/06,2014/11/06,366,0,0,366,0,0,12.2,Win,0.82,0,,a0_5401610455
Closed position,118122502,NZDUSD,3,Sell,0.77236,0.77283,2014/11/06 07:10:02,2014/11/06 13:18:12,2014/11/06,2014/11/06,-141,0,0,-141,0.771,0,-4.7,Loss,6.14,0,,a0_5401610455
Closed position,118123143,EURUSD,3,Buy,1.25242,1.25193,2014/11/06 07:21:58,2014/11/06 13:22:59,2014/11/06,2014/11/06,-147,0,0,-147,1.2532,0,-4.9,Loss,6.02,0,,a0_5401610455
Closed position,118137318,USDJPY,2,Sell,114.594,114.5,2014/11/06 13:24:47,2014/11/06 15:15:00,2014/11/06,2014/11/06,164.19,0,0,164.19,114.5,0,9.4,Win,1.84,0,tp,a0_5401610455
Closed position,118137115,NZDUSD,1.5,Sell,0.77257,0.77162,2014/11/06 13:19:24,2014/11/06 15:36:21,2014/11/06,2014/11/06,142.5,0,0,142.5,0.768,0,9.5,Win,2.28,0,,a0_5401610455
Closed position,118146347,USDJPY,2,Buy,114.957,115,2014/11/06 15:35:51,2014/11/06 22:24:35,2014/11/06,2014/11/06,74.78,0,0,74.78,115,0,4.3,Win,6.81,0,tp,a0_5401610455
Closed position,118128857,AUDUSD,3,Buy,0.86159,0.8623,2014/11/06 10:00:29,2014/11/07 15:30:16,2014/11/06,2014/11/07,213,15.09,0,228.09,0.8623,0,7.1,Win,29.5,0,tp,a0_5401610455
Closed position,118181175,GBPUSD,2,Buy,1.58402,1.5848,2014/11/07 03:55:28,2014/11/07 19:35:38,2014/11/07,2014/11/07,156,0,0,156,1.5855,0,7.8,Win,15.67,0,,a0_5401610455
Closed position,118148365,EURUSD,4,Buy,1.24314,1.24342,2014/11/06 15:40:35,2014/11/07 19:35:43,2014/11/06,2014/11/07,112,-4.6,0,107.4,1.2492,0,2.8,Win,27.92,0,,a0_5401610455
Closed position,118216013,AUDUSD,3.1,Buy,0.86257,0.86338,2014/11/07 19:38:23,2014/11/07 20:32:51,2014/11/07,2014/11/07,251.1,0,0,251.1,0.871,0,8.1,Win,0.91,0,,a0_5401610455
Closed position,118058895,USDCHF,2.61,Sell,0.95904,0.965,2014/11/05 06:24:34,2014/11/10 00:00:06,2014/11/05,2014/11/10,-1611.98,-13.94,0,-1625.92,0.965,0,-59.6,Loss,113.59,0,tp,a0_5401610455
Closed position,118215971,EURUSD,2,Buy,1.24316,1.24848,2014/11/07 19:36:47,2014/11/10 04:15:34,2014/11/07,2014/11/10,1064,-3.24,0,1060.76,1.2561,0,53.2,Win,56.65,0,,a0_5401610455
Closed position,118217054,NZDUSD,2,Buy,0.77498,0.77911,2014/11/07 20:35:00,2014/11/10 04:15:40,2014/11/07,2014/11/10,826,14,0,840,0.781,0,41.3,Win,55.68,0,,a0_5401610455
Closed position,118227902,USDJPY,10,Buy,114.193,114.213,2014/11/10 04:38:11,2014/11/10 04:40:17,2014/11/10,2014/11/10,175.11,0,0,175.11,0,0,2.0,Win,0.04,0,,a0_5401610455
Closed position,118227973,USDJPY,20,Buy,114.235,114.254,2014/11/10 04:41:24,2014/11/10 05:00:03,2014/11/10,2014/11/10,332.59,0,0,332.59,0,0,1.9,Win,0.31,0,,a0_5401610455
Closed position,118227544,USDCHF,0.5,Buy,0.96391,0.96451,2014/11/10 04:18:54,2014/11/10 05:00:28,2014/11/10,2014/11/10,31.1,0,0,31.1,0.968,0,6.0,Win,0.69,0,,a0_5401610455
Closed position,118228287,NZDUSD,30,Buy,0.77865,0.77916,2014/11/10 05:02:14,2014/11/10 05:25:38,2014/11/10,2014/11/10,1530,0,0,1530,0,0,5.1,Win,0.39,0,,a0_5401610455
Closed position,118216001,EURGBP,2,Buy,0.78459,0.78506,2014/11/07 19:37:56,2014/11/10 05:25:55,2014/11/07,2014/11/10,149.46,-5.46,0,144.00,0.7865,0,4.7,Win,57.8,0,,a0_5401610455
Closed position,118228703,GBPUSD,30,Buy,1.59018,1.59047,2014/11/10 05:36:08,2014/11/10 06:04:39,2014/11/10,2014/11/10,870,0,0,870,0,0,2.9,Win,0.48,0,,a0_5401610455
Closed position,118228749,USDJPY,30,Buy,114.177,114.229,2014/11/10 05:41:08,2014/11/10 06:04:53,2014/11/10,2014/11/10,1365.68,0,0,1365.68,114.235,0,5.2,Win,0.4,0,,a0_5401610455
