sep=,
Type,Ticket,Symbol,Lots,Buy/sell,Open price,Close price,Open time,Close time,Open date,Close date,Profit,Swap,Commission,Net profit,T/P,S/L,Pips,Result,Trade duration (hours),Magic number,Order comment,Account
Deposit,117348216,,0,,0,0,2014/10/09 21:10:27,2014/10/09 21:10:27,2014/10/09,2014/10/09,10000,0,0,10000,0,0,0,n/a,0,0,Deposit,a0_5404681081
Closed position,118022955,EURUSD,1,Buy,1.25054,1.25246,2014/11/04 09:17:53,2014/11/04 17:17:30,2014/11/04,2014/11/04,192,0,0,192,0,0,19.2,Win,7.99,0,,a0_5404681081
Closed position,118021689,EURUSD,0.01,Buy,1.25197,1.25266,2014/11/04 08:35:45,2014/11/04 17:17:49,2014/11/04,2014/11/04,0.69,0,0,0.69,0,0,6.9,Win,8.7,0,,a0_5404681081
Closed position,118021721,USDJPY,0.01,Sell,113.428,113.315,2014/11/04 08:37:38,2014/11/04 17:56:40,2014/11/04,2014/11/04,1,0,0,1,0,0,11.3,Win,9.32,0,,a0_5404681081
Closed position,118039755,EURGBP,2,Buy,0.78285,0.7851,2014/11/04 17:18:48,2014/11/04 17:59:53,2014/11/04,2014/11/04,720.28,0,0,720.28,0,0,22.5,Win,0.68,0,,a0_5404681081
Closed position,118027445,EURGBP,1,Buy,0.78217,0.7845,2014/11/04 11:32:19,2014/11/04 18:16:38,2014/11/04,2014/11/04,372.72,0,0,372.72,0,0,23.3,Win,6.74,0,,a0_5404681081
Closed position,118022874,USDJPY,1,Sell,113.585,113.451,2014/11/04 09:17:08,2014/11/04 18:32:17,2014/11/04,2014/11/04,118.11,0,0,118.11,0,0,13.4,Win,9.25,0,,a0_5404681081
Closed position,118022833,USDSGD,0.01,Sell,1.2887,1.29,2014/11/04 09:15:11,2014/11/05 06:08:13,2014/11/04,2014/11/05,-1.01,-0.01,0,-1.02,0,0,-13,Loss,20.88,0,,a0_5404681081
Closed position,118058831,EURGBP,0.03,Buy,0.78433,0.78499,2014/11/05 06:21:37,2014/11/05 09:45:32,2014/11/05,2014/11/05,3.16,0,0,3.16,0,0,6.6,Win,3.4,0,,a0_5404681081
Closed position,118035469,AUDJPY,2,Sell,98.99,98.76,2014/11/04 15:36:15,2014/11/05 12:24:17,2014/11/04,2014/11/05,401.88,-13.38,0,388.50,0,0,23,Win,20.8,0,,a0_5404681081
Closed position,118058830,GBPUSD,0.03,Buy,1.60176,1.59596,2014/11/05 06:21:26,2014/11/06 05:30:05,2014/11/05,2014/11/06,-17.4,0,0,-17.4,0,0,-58.0,Loss,23.14,0,,a0_5404681081
Closed position,118059225,EURUSD,1,Buy,1.25589,1.24862,2014/11/05 06:44:07,2014/11/06 05:30:28,2014/11/05,2014/11/06,-727,-3.45,0,-730.45,0,0,-72.7,Loss,22.77,0,,a0_5404681081
Closed position,118058836,EURUSD,0.03,Buy,1.25621,1.25035,2014/11/05 06:21:48,2014/11/06 06:27:33,2014/11/05,2014/11/06,-17.58,-0.1,0,-17.68,0,0,-58.6,Loss,24.1,0,,a0_5404681081
Closed position,118059230,USDJPY,1,Sell,114.048,114.668,2014/11/05 06:44:30,2014/11/06 06:30:03,2014/11/05,2014/11/06,-540.69,-3.14,0,-543.83,0,0,-62.0,Loss,23.76,0,,a0_5404681081
Closed position,118039881,CHFJPY,1.5,Sell,118.05,119.13,2014/11/04 17:20:42,2014/11/06 06:30:09,2014/11/04,2014/11/06,-1413.18,-3.67,0,-1416.85,0,0,-108,Loss,37.16,0,,a0_5404681081
Closed position,118058842,USDJPY,0.03,Sell,113.894,114.63,2014/11/05 06:22:10,2014/11/06 06:30:21,2014/11/05,2014/11/06,-19.26,-0.09,0,-19.35,0,0,-73.6,Loss,24.14,0,,a0_5404681081
Closed position,118126757,EURCAD,1,Sell,1.4253,1.4252,2014/11/06 09:03:54,2014/11/06 09:32:17,2014/11/06,2014/11/06,8.78,0,0,8.78,0,0,1,Win,0.47,0,,a0_5404681081
Closed position,118138495,EURUSD,1,Sell,1.2526,1.25159,2014/11/06 13:47:40,2014/11/06 14:08:01,2014/11/06,2014/11/06,101,0,0,101,0,0,10.1,Win,0.34,0,,a0_5404681081
Closed position,118139898,EURGBP,1,Buy,0.78526,0.78595,2014/11/06 14:16:05,2014/11/06 15:06:08,2014/11/06,2014/11/06,109.86,0,0,109.86,0,0,6.9,Win,0.83,0,,a0_5404681081
Closed position,118210359,EURUSD,1,Buy,1.24364,1.24211,2014/11/07 17:00:26,2014/11/07 17:07:51,2014/11/07,2014/11/07,-153,0,0,-153,0,0,-15.3,Loss,0.12,0,,a0_5404681081
Closed position,118183015,EURUSD,1,Sell,1.23774,1.24252,2014/11/07 06:20:35,2014/11/07 19:00:33,2014/11/07,2014/11/07,-478,0,0,-478,0,0,-47.8,Loss,12.67,0,,a0_5404681081
Closed position,118709828,EURUSD,1,Sell,1.25172,1.25408,2014/11/19 09:07:31,2014/11/19 10:16:25,2014/11/19,2014/11/19,-236,0,0,-236,0,0,-23.6,Loss,1.15,0,,a0_5404681081
Closed position,118711893,EURUSD,1,Buy,1.25402,1.25464,2014/11/19 10:16:53,2014/11/20 05:24:26,2014/11/19,2014/11/20,62,-5.1,0,56.9,0,0,6.2,Win,19.13,0,,a0_5404681081
Closed position,118786027,GBPUSD,1,Buy,1.5646,1.5677,2014/11/20 09:49:59,2014/11/20 11:30:13,2014/11/20,2014/11/20,310,0,0,310,0,0,31,Win,1.67,0,,a0_5404681081
