sep=,
Type,Ticket,Symbol,Lots,Buy/sell,Open price,Close price,Open time,Close time,Open date,Close date,Profit,Swap,Commission,Net profit,T/P,S/L,Pips,Result,Trade duration (hours),Magic number,Order comment,Account
Open position,42056523,USDCHF,0.5,Buy,0.92611,0.95439,2013/08/16 02:18:48,1970/01/01 00:00:00,2013/08/16,1970/01/01,1481.57,-87.67,0,1393.90,0,0,282.8,Win,0,0,,5402615453
Open position,42241069,USDCAD,0.5,Sell,1.04961,1.11625,2013/08/22 13:24:16,1970/01/01 00:00:00,2013/08/22,1970/01/01,-2984.99,103.26,0,-2881.73,0,0,-666.4,Loss,0,0,,5402615453
Deposit,40595437,,0,,0,0,2013/07/11 07:33:57,2013/07/11 07:33:57,2013/07/11,2013/07/11,10000,0,0,10000,0,0,0,n/a,0,0,Deposit,5402615453
Closed position,40733935,GBPUSD,0.05,Sell,1.51032,1.50985,2013/07/16 14:20:27,2013/07/16 14:24:56,2013/07/16,2013/07/16,2.35,0,0,2.35,0,0,4.7,Win,0.07,0,,5402615453
Closed position,40767042,CHFJPYpro,0.25,Buy,105.52,105.535,2013/07/17 08:13:59,2013/07/17 08:34:47,2013/07/17,2013/07/17,3.77,0,0,3.77,0,0,1.5,Win,0.35,0,,5402615453
Closed position,40766322,EURUSD,0.05,Buy,1.31398,1.31432,2013/07/17 07:43:24,2013/07/17 10:51:01,2013/07/17,2013/07/17,1.7,0,0,1.7,0,0,3.4,Win,3.13,0,,5402615453
Closed position,40864847,USDCAD,0.5,Buy,1.03756,1.0379,2013/07/19 11:26:26,2013/07/19 12:06:30,2013/07/19,2013/07/19,16.38,0,0,16.38,0,0,3.4,Win,0.67,0,,5402615453
Closed position,40871079,USDJPY,0.5,Buy,100.293,100.397,2013/07/19 14:25:43,2013/07/19 15:18:51,2013/07/19,2013/07/19,51.79,0,0,51.79,0,0,10.4,Win,0.89,0,,5402615453
Closed position,40879334,USDCAD,0.5,Sell,1.03607,1.03564,2013/07/19 19:38:43,2013/07/22 06:46:16,2013/07/19,2013/07/22,20.76,0.33,0,21.09,0,0,4.3,Win,59.13,0,,5402615453
Closed position,40891347,USDJPY,0.5,Buy,99.988,100.037,2013/07/22 05:07:06,2013/07/22 08:18:53,2013/07/22,2013/07/22,24.49,0,0,24.49,0,0,4.9,Win,3.2,0,,5402615453
Closed position,40904501,USDCAD,0.5,Buy,1.03548,1.03626,2013/07/22 11:25:38,2013/08/02 09:51:41,2013/07/22,2013/08/02,37.64,-31.82,0,5.82,20,0,7.8,Win,262.43,0,,5402615453
Closed position,41522246,USDCAD,0.5,Sell,1.03694,1.03303,2013/08/02 18:51:52,2013/08/09 03:54:01,2013/08/02,2013/08/09,189.25,2.3,0,191.55,0,0,39.1,Win,153.04,0,,5402615453
Closed position,41758429,GBPUSD,0.5,Sell,1.55516,1.54782,2013/08/09 12:36:53,2013/08/12 15:00:54,2013/08/09,2013/08/12,367,-1.9,0,365.1,0,0,73.4,Win,74.4,0,,5402615453
Closed position,42022303,USDJPY,0.5,Sell,98.438,97.845,2013/08/15 16:09:47,2013/08/15 18:55:20,2013/08/15,2013/08/15,303.03,0,0,303.03,0,0,59.3,Win,2.76,0,,5402615453
Closed position,41923542,EURUSD,0.5,Buy,1.32546,1.33464,2013/08/13 19:46:36,2013/08/16 02:16:54,2013/08/13,2013/08/16,459,-8.4,0,450.6,0,0,91.8,Win,54.5,0,,5402615453
Closed position,42056541,GBPUSD,0.5,Sell,1.56376,1.56025,2013/08/16 02:19:42,2013/08/22 07:04:46,2013/08/16,2013/08/22,175.5,-11.4,0,164.1,0,0,35.1,Win,148.75,0,,5402615453
