sep=,
Type,Ticket,Symbol,Lots,Buy/sell,Open price,Close price,Open time,Close time,Open date,Close date,Profit,Swap,Commission,Net profit,T/P,S/L,Pips,Result,Trade duration (hours),Magic number,Order comment,Account
Deposit,40876065,,0,,0,0,2013/07/19 17:59:23,2013/07/19 17:59:23,2013/07/19,2013/07/19,10000,0,0,10000,0,0,0,n/a,0,0,Deposit,5402685258
Closed position,41025823,USDJPY,10,Sell,99.638,99.741,2013/07/24 07:40:08,2013/07/24 08:44:28,2013/07/24,2013/07/24,-1032.67,0,0,-1032.67,0,0,-10.3,Loss,1.07,0,,5402685258
Closed position,41029509,USDJPY,5,Buy,99.813,99.82,2013/07/24 08:50:59,2013/07/24 09:00:26,2013/07/24,2013/07/24,35.06,0,0,35.06,0,0,0.7,Win,0.16,0,,5402685258
Closed position,41029721,USDJPY,9,Buy,99.866,99.82,2013/07/24 08:56:35,2013/07/24 09:00:45,2013/07/24,2013/07/24,-414.75,0,0,-414.75,0,0,-4.6,Loss,0.07,0,,5402685258
Closed position,41029228,USDJPY,0.01,Buy,99.792,99.826,2013/07/24 08:49:11,2013/07/24 09:00:55,2013/07/24,2013/07/24,0.34,0,0,0.34,0,0,3.4,Win,0.2,0,,5402685258
Closed position,41807171,GBPJPY,3.9,Sell,149.389,150,2013/08/12 09:58:59,2013/08/13 00:46:31,2013/08/12,2013/08/13,-2456.29,28.17,0,-2428.12,0,150,-61.1,Loss,14.79,0,[sl],5402685258
Closed position,41860179,GBPUSD,3.9,Buy,1.54543,1.54622,2013/08/13 03:27:53,2013/08/13 07:30:24,2013/08/13,2013/08/13,308.1,0,0,308.1,0,1.544,7.9,Win,4.04,0,,5402685258
Closed position,42145596,GBPCHFpro,3,Buy,1.44765,1.44693,2013/08/19 16:40:37,2013/08/19 16:44:07,2013/08/19,2013/08/19,-233.68,0,0,-233.68,0,1.4468,-7.2,Loss,0.06,0,,5402685258
Closed position,42265671,GBPCHF,0.01,Buy,1.44142,1.44101,2013/08/23 08:46:55,2013/08/23 08:47:06,2013/08/23,2013/08/23,-0.44,0,0,-0.44,0,0,-4.1,Loss,0,0,,5402685258
Closed position,42265662,USDCHFpro,0.01,Sell,0.92496,0.92494,2013/08/23 08:46:32,2013/08/23 08:47:15,2013/08/23,2013/08/23,0.02,0,0,0.02,0,0,0.2,Win,0.01,0,,5402685258
Closed position,42265668,GBPCHFpro,0.01,Buy,1.44147,1.44104,2013/08/23 08:46:48,2013/08/23 08:47:20,2013/08/23,2013/08/23,-0.46,0,0,-0.46,0,0,-4.3,Loss,0.01,0,,5402685258
Closed position,42265644,USDCHFpro,0.01,Buy,0.92504,0.9247,2013/08/23 08:46:13,2013/08/23 08:47:26,2013/08/23,2013/08/23,-0.37,0,0,-0.37,0,0,-3.4,Loss,0.02,0,,5402685258
