sep=,
Type,Ticket,Symbol,Lots,Buy/sell,Open price,Close price,Open time,Close time,Open date,Close date,Profit,Swap,Commission,Net profit,T/P,S/L,Pips,Result,Trade duration (hours),Magic number,Order comment,Account
Deposit,40596290,,0,,0,0,2013/07/11 07:52:09,2013/07/11 07:52:09,2013/07/11,2013/07/11,10000,0,0,10000,0,0,0,n/a,0,0,Deposit,5302615173
Closed position,42199492,USDJPY,0.01,Sell,97.466,97.478,2013/08/21 13:29:15,2013/08/21 13:52:30,2013/08/21,2013/08/21,-0.12,0,0,-0.12,0,0,-1.2,Loss,0.39,0,,5302615173
Closed position,42199491,USDJPY,0.01,Sell,97.466,97.481,2013/08/21 13:29:12,2013/08/21 13:52:36,2013/08/21,2013/08/21,-0.15,0,0,-0.15,0,0,-1.5,Loss,0.39,0,,5302615173
Closed position,42199490,USDJPY,0.01,Sell,97.466,97.476,2013/08/21 13:29:09,2013/08/21 13:52:57,2013/08/21,2013/08/21,-0.1,0,0,-0.1,0,0,-1.0,Loss,0.4,0,,5302615173
Closed position,42199489,USDJPY,0.01,Sell,97.466,97.475,2013/08/21 13:29:06,2013/08/21 13:53:03,2013/08/21,2013/08/21,-0.09,0,0,-0.09,0,0,-0.9,Loss,0.4,0,,5302615173
Closed position,42199485,EURUSD,0.01,Buy,1.33973,1.33846,2013/08/21 13:29:03,2013/08/21 13:53:14,2013/08/21,2013/08/21,-1.27,0,0,-1.27,0,0,-12.7,Loss,0.4,0,,5302615173
Closed position,42199484,EURUSD,0.01,Buy,1.33964,1.33834,2013/08/21 13:29:00,2013/08/21 13:53:24,2013/08/21,2013/08/21,-1.3,0,0,-1.3,0,0,-13.0,Loss,0.41,0,,5302615173
Closed position,42199483,EURUSD,0.01,Buy,1.33964,1.33833,2013/08/21 13:28:56,2013/08/21 13:53:29,2013/08/21,2013/08/21,-1.31,0,0,-1.31,0,0,-13.1,Loss,0.41,0,,5302615173
Closed position,42199482,EURUSD,0.01,Buy,1.33964,1.33837,2013/08/21 13:28:53,2013/08/21 13:53:35,2013/08/21,2013/08/21,-1.27,0,0,-1.27,0,0,-12.7,Loss,0.41,0,,5302615173
Closed position,42199481,EURUSD,0.01,Sell,1.33953,1.33848,2013/08/21 13:28:49,2013/08/21 13:53:40,2013/08/21,2013/08/21,1.05,0,0,1.05,0,0,10.5,Win,0.41,0,,5302615173
Closed position,42199479,EURUSD,0.01,Sell,1.33958,1.33824,2013/08/21 13:28:38,2013/08/21 13:53:46,2013/08/21,2013/08/21,1.34,0,0,1.34,0,0,13.4,Win,0.42,0,,5302615173
Closed position,42203833,EURUSD,20,Sell,1.33854,1.3347,2013/08/21 16:57:06,2013/08/22 09:27:56,2013/08/21,2013/08/22,7680,-36,0,7644,0,0,38.4,Win,16.51,0,,5302615173
Closed position,42243705,EURUSD,38,Buy,1.33123,1.33333,2013/08/22 14:37:45,2013/08/22 15:35:45,2013/08/22,2013/08/22,7980,0,0,7980,0,0,21.0,Win,0.97,0,,5302615173
Closed position,42243779,EURUSD,8,Buy,1.3312,1.33337,2013/08/22 14:40:38,2013/08/22 15:35:49,2013/08/22,2013/08/22,1736,0,0,1736,0,0,21.7,Win,0.92,0,,5302615173
Closed position,42253801,EURUSD,0.01,Sell,1.33696,1.33691,2013/08/22 19:38:03,2013/08/22 19:38:55,2013/08/22,2013/08/22,0.05,0,0,0.05,0,0,0.5,Win,0.01,0,,5302615173
Closed position,42253817,EURUSD,0.01,Sell,1.33687,1.33691,2013/08/22 19:38:12,2013/08/22 19:40:00,2013/08/22,2013/08/22,-0.04,0,0,-0.04,0,0,-0.4,Loss,0.03,0,,5302615173
Closed position,42253815,EURUSD,0.01,Sell,1.33686,1.33681,2013/08/22 19:38:09,2013/08/22 19:40:56,2013/08/22,2013/08/22,0.05,0,0,0.05,0,0,0.5,Win,0.05,0,,5302615173
Closed position,42253811,EURUSD,0.01,Sell,1.33685,1.33681,2013/08/22 19:38:06,2013/08/22 19:41:00,2013/08/22,2013/08/22,0.04,0,0,0.04,0,0,0.4,Win,0.05,0,,5302615173
Closed position,42253878,USDCHF,0.01,Sell,0.92266,0.92319,2013/08/22 19:40:32,2013/08/22 19:47:19,2013/08/22,2013/08/22,-0.57,0,0,-0.57,0.92265,0.92319,-5.3,Loss,0.11,0,[sl],5302615173
Closed position,42253836,USDJPY,0.01,Buy,98.478,98.479,2013/08/22 19:39:28,2013/08/22 19:48:15,2013/08/22,2013/08/22,0.01,0,0,0.01,98.479,0,0.1,Win,0.15,0,[tp],5302615173
Closed position,42253837,USDJPY,0.01,Buy,98.476,98.477,2013/08/22 19:39:31,2013/08/22 19:48:15,2013/08/22,2013/08/22,0.01,0,0,0.01,98.477,0,0.1,Win,0.15,0,[tp],5302615173
Closed position,42253838,USDJPY,0.01,Buy,98.476,98.477,2013/08/22 19:39:34,2013/08/22 19:48:15,2013/08/22,2013/08/22,0.01,0,0,0.01,98.477,0,0.1,Win,0.14,0,[tp],5302615173
Closed position,42253839,USDJPY,0.01,Buy,98.476,98.477,2013/08/22 19:39:37,2013/08/22 19:48:15,2013/08/22,2013/08/22,0.01,0,0,0.01,98.477,0,0.1,Win,0.14,0,[tp],5302615173
