sep=,
Type,Ticket,Symbol,Lots,Buy/sell,Open price,Close price,Open time,Close time,Open date,Close date,Profit,Swap,Commission,Net profit,T/P,S/L,Pips,Result,Trade duration (hours),Magic number,Order comment,Account
Deposit,40596040,,0,,0,0,2013/07/11 07:46:23,2013/07/11 07:46:23,2013/07/11,2013/07/11,10000,0,0,10000,0,0,0,n/a,0,0,Deposit,5402686538
Closed position,40837049,EURUSD,0.01,Buy,1.30833,1.3129,2013/07/18 16:22:42,2013/07/19 09:24:08,2013/07/18,2013/07/19,4.57,-0.03,0,4.54,0,0,45.7,Win,17.02,0,,5402686538
Closed position,40835891,USDCHF,0.01,Sell,0.94575,0.94232,2013/07/18 15:54:56,2013/07/19 09:24:25,2013/07/18,2013/07/19,3.64,-0.05,0,3.59,0,0,34.3,Win,17.49,0,,5402686538
Closed position,40824574,GBPUSD,1,Sell,1.51759,1.52295,2013/07/18 07:39:22,2013/07/19 10:04:46,2013/07/18,2013/07/19,-536,-3.8,0,-539.8,0,0,-53.6,Loss,26.42,0,,5402686538
Closed position,40861754,USDJPY,0.5,Buy,100.098,100.3,2013/07/19 09:36:40,2013/07/19 10:41:34,2013/07/19,2013/07/19,100.7,0,0,100.7,100.3,0,20.2,Win,1.08,0,[tp],5402686538
Closed position,40837158,XAUUSD,0.01,Sell,1284.51,1288.45,2013/07/18 16:24:46,2013/07/19 13:27:06,2013/07/18,2013/07/19,-3.94,0,0,-3.94,0,0,-39.4,Loss,21.04,0,,5402686538
Closed position,40861894,USDCHF,0.5,Buy,0.94276,0.94285,2013/07/19 09:45:20,2013/07/19 13:36:47,2013/07/19,2013/07/19,4.77,0,0,4.77,0.944,0,0.9,Win,3.86,0,,5402686538
Closed position,40870130,EURAUDpro,1,Buy,1.42713,1.42363,2013/07/19 14:03:46,2013/07/19 14:04:55,2013/07/19,2013/07/19,-322.5,0,0,-322.5,0,0,-35.0,Loss,0.02,0,,5402686538
Closed position,42230211,USDJPY,0.5,Sell,98.131,98.736,2013/08/22 07:04:59,2013/08/22 13:30:18,2013/08/22,2013/08/22,-306.37,0,0,-306.37,0,0,-60.5,Loss,6.42,0,,5402686538
Closed position,42230215,GBPUSD,1,Buy,1.56024,1.56001,2013/08/22 07:05:39,2013/08/23 02:10:05,2013/08/22,2013/08/23,-23,-1.12,0,-24.12,0,0,-2.3,Loss,19.07,0,,5402686538
Closed position,42278222,EURUSD,0.5,Buy,1.33375,1.3375,2013/08/23 16:15:12,2013/08/23 17:16:53,2013/08/23,2013/08/23,187.5,0,0,187.5,1.3375,0,37.5,Win,1.03,0,[tp],5402686538
Closed position,42286741,GBPNZD,0.5,Buy,1.9932,1.99301,2013/08/23 18:58:46,2013/08/23 19:02:46,2013/08/23,2013/08/23,-7.42,0,0,-7.42,0,0,-1.9,Loss,0.07,0,,5402686538
Closed position,42287334,GBPUSD,0.5,Buy,1.55658,1.55622,2013/08/23 19:34:20,2013/08/23 19:45:32,2013/08/23,2013/08/23,-18,0,0,-18,0,0,-3.6,Loss,0.19,0,,5402686538
Closed position,42287430,CHFJPYpro,0.5,Buy,107.17,107.181,2013/08/23 19:39:27,2013/08/23 19:54:01,2013/08/23,2013/08/23,5.57,0,0,5.57,0,0,1.1,Win,0.24,0,,5402686538
Closed position,42260773,GBPUSD,0.5,Buy,1.55924,1.55625,2013/08/23 03:01:58,2013/08/23 19:57:50,2013/08/23,2013/08/23,-149.5,0,0,-149.5,0,0,-29.9,Loss,16.93,0,,5402686538
Closed position,42281042,USDCHF,0.5,Buy,0.92322,0.92135,2013/08/23 17:13:07,2013/08/23 19:58:01,2013/08/23,2013/08/23,-101.48,0,0,-101.48,0,0,-18.7,Loss,2.75,0,,5402686538
Closed position,42280621,USDJPY,0.5,Buy,98.886,98.765,2013/08/23 17:08:33,2013/08/23 19:58:12,2013/08/23,2013/08/23,-61.26,0,0,-61.26,0,0,-12.1,Loss,2.83,0,,5402686538
Closed position,42287615,GBPUSD,0.5,Sell,1.55615,1.55644,2013/08/23 19:46:07,2013/08/23 19:58:58,2013/08/23,2013/08/23,-14.5,0,0,-14.5,0,0,-2.9,Loss,0.21,0,,5402686538
Closed position,42230293,USDCAD,0.5,Buy,1.04967,1.05148,2013/08/22 07:09:25,2013/08/23 20:00:25,2013/08/22,2013/08/23,86.07,-2.4,0,83.67,0,0,18.1,Win,36.85,0,,5402686538
Closed position,42288026,EURUSD,0.5,Sell,1.33853,1.33859,2013/08/23 20:01:41,2013/08/23 20:21:23,2013/08/23,2013/08/23,-3,0,0,-3,0,0,-0.6,Loss,0.33,0,,5402686538
Closed position,42288039,GBPUSD,0.5,Sell,1.5569,1.5567,2013/08/23 20:02:26,2013/08/23 20:25:56,2013/08/23,2013/08/23,10,0,0,10,0,0,2,Win,0.39,0,,5402686538
