sep=,
Type,Ticket,Symbol,Lots,Buy/sell,Open price,Close price,Open time,Close time,Open date,Close date,Profit,Swap,Commission,Net profit,T/P,S/L,Pips,Result,Trade duration (hours),Magic number,Order comment,Account
Deposit,40812010,,0,,0,0,2013/07/17 20:02:22,2013/07/17 20:02:22,2013/07/17,2013/07/17,10000,0,0,10000,0,0,0,n/a,0,0,Deposit,5502686362
Closed position,40830560,XAUUSD,20,Buy,1281.14,1281.7,2013/07/18 12:44:01,2013/07/18 13:00:14,2013/07/18,2013/07/18,1120,0,0,1120,0,0,5.6,Win,0.27,0,,5502686362
Closed position,40831138,XAUUSD,20,Sell,1281.74,1281.32,2013/07/18 13:00:58,2013/07/18 13:09:25,2013/07/18,2013/07/18,840,0,0,840,0,0,4.2,Win,0.14,0,,5502686362
Closed position,40813375,XAUUSD,0.01,Buy,1276.4,1283.9,2013/07/17 20:47:23,2013/07/18 15:37:43,2013/07/17,2013/07/18,7.5,-0.2,0,7.3,0,0,75,Win,18.84,0,[stopout],5502686362
Closed position,40813436,XAUUSD,0.01,Buy,1276.79,1283.9,2013/07/17 20:52:31,2013/07/18 15:37:43,2013/07/17,2013/07/18,7.11,-0.2,0,6.91,1300,1200,71.1,Win,18.75,0,[stopout],5502686362
Closed position,40831502,XAUUSD,30,Sell,1281.02,1284.35,2013/07/18 13:11:23,2013/07/18 15:37:43,2013/07/18,2013/07/18,-9990,0,0,-9990,0,0,-33.3,Loss,2.44,0,[stopout],5502686362
Closed position,40836034,XAUUSD,1,Buy,1284.83,1319.58,2013/07/18 15:58:59,2013/07/24 22:06:39,2013/07/18,2013/07/24,3475,-27.91,0,3447.09,0,0,347.5,Win,150.13,0,,5502686362
Closed position,41075603,XAUUSD,3,Buy,1319.65,1303.95,2013/07/24 22:07:44,2013/08/02 01:23:22,2013/07/24,2013/08/02,-4710,-231.92,0,-4941.92,0,0,-157.0,Loss,195.26,0,[stopout],5502686362
