sep=,
Type,Ticket,Symbol,Lots,Buy/sell,Open price,Close price,Open time,Close time,Open date,Close date,Profit,Swap,Commission,Net profit,T/P,S/L,Pips,Result,Trade duration (hours),Magic number,Order comment,Account
Deposit,40709718,,0,,0,0,2013/07/15 19:05:50,2013/07/15 19:05:50,2013/07/15,2013/07/15,10000,0,0,10000,0,0,0,n/a,0,0,Deposit,5402615826
Closed position,40741450,EURJPYpro,0.05,Buy,130.531,131.054,2013/07/16 17:07:04,2013/07/17 11:03:30,2013/07/16,2013/07/17,26.22,-0.14,0,26.08,0,0,52.3,Win,17.94,0,,5402615826
Closed position,40741470,AUDJPYpro,0.05,Buy,91.707,91.84,2013/07/16 17:07:37,2013/07/17 14:31:15,2013/07/16,2013/07/17,6.68,0.23,0,6.91,0,0,13.3,Win,21.39,0,,5402615826
Closed position,40788927,USDCAD,0,Buy,1.03881,1.03881,2013/07/17 14:33:23,2013/07/17 14:34:42,2013/07/17,2013/07/17,0,0,0,0,0,0,0.0,B/E,0.02,0,close hedge by #40788929,5402615826
Closed position,40788929,USDCAD,0.05,Sell,1.03871,1.03881,2013/07/17 14:33:26,2013/07/17 14:34:42,2013/07/17,2013/07/17,-0.49,0,0,-0.49,0,0,-1.0,Loss,0.02,0,,5402615826
Closed position,40788827,EURJPY,0.05,Buy,130.99,131.036,2013/07/17 14:31:58,2013/07/17 14:37:20,2013/07/17,2013/07/17,2.31,0,0,2.31,0,0,4.6,Win,0.09,0,,5402615826
Closed position,40789032,USDCAD,0.05,Buy,1.03889,1.03981,2013/07/17 14:35:30,2013/07/17 15:23:31,2013/07/17,2013/07/17,4.42,0,0,4.42,0,0,9.2,Win,0.8,0,,5402615826
Closed position,40777523,AUDJPY,0.05,Buy,91.85,92.121,2013/07/17 11:26:08,2013/07/17 16:11:37,2013/07/17,2013/07/17,13.65,0,0,13.65,0,0,27.1,Win,4.76,0,,5402615826
Closed position,40777559,NZDCAD,0.05,Buy,0.81705,0.82201,2013/07/17 11:27:14,2013/07/17 16:15:24,2013/07/17,2013/07/17,23.91,0,0,23.91,0,0,49.6,Win,4.8,0,,5402615826
Closed position,40741475,AUDCADpro,0.05,Buy,0.96065,0.96206,2013/07/16 17:08:06,2013/07/17 16:17:37,2013/07/16,2013/07/17,6.8,0.21,0,7.01,0,0,14.1,Win,23.16,0,,5402615826
Closed position,40741592,XAUUSD,0.05,Buy,1292.29,1294.55,2013/07/16 17:10:07,2013/07/17 16:21:02,2013/07/16,2013/07/17,11.3,-0.34,0,10.96,0,0,22.6,Win,23.18,0,,5402615826
Closed position,40796885,XAUEUR,0.05,Buy,983.21,986.4,2013/07/17 16:20:18,2013/07/17 17:03:56,2013/07/17,2013/07/17,20.97,0,0,20.97,0,0,31.9,Win,0.73,0,,5402615826
Closed position,40795961,USDCADpro,0.5,Buy,1.03687,1.03965,2013/07/17 16:05:16,2013/07/17 17:07:31,2013/07/17,2013/07/17,133.7,0,0,133.7,0,0,27.8,Win,1.04,0,,5402615826
Closed position,40796798,USDJPYpro,0.05,Buy,99.341,99.38,2013/07/17 16:18:37,2013/07/17 17:09:12,2013/07/17,2013/07/17,1.96,0,0,1.96,0,0,3.9,Win,0.84,0,,5402615826
Closed position,40741648,XAUEUR,0.05,Buy,985.1,988.67,2013/07/16 17:11:29,2013/07/17 17:17:45,2013/07/16,2013/07/17,23.45,-0.34,0,23.11,0,0,35.7,Win,24.1,0,,5402615826
