sep=,
Type,Ticket,Symbol,Lots,Buy/sell,Open price,Close price,Open time,Close time,Open date,Close date,Profit,Swap,Commission,Net profit,T/P,S/L,Pips,Result,Trade duration (hours),Magic number,Order comment,Account
Deposit,40596127,,0,,0,0,2013/07/11 07:48:26,2013/07/11 07:48:26,2013/07/11,2013/07/11,10000,0,0,10000,0,0,0,n/a,0,0,Deposit,5502112971
Closed position,40740690,GBPUSD,6,Sell,1.50818,1.50826,2013/07/16 16:42:54,2013/07/16 16:43:11,2013/07/16,2013/07/16,-48,0,0,-48,0,0,-0.8,Loss,0,0,,5502112971
Closed position,40740196,GBPUSD,6,Buy,1.50919,1.50832,2013/07/16 16:32:40,2013/07/16 16:43:15,2013/07/16,2013/07/16,-522,0,0,-522,0,0,-8.7,Loss,0.18,0,,5502112971
Closed position,40740801,GBPUSD,0.29,Buy,1.50866,1.62861,2013/07/16 16:48:15,2014/09/25 09:49:56,2013/07/16,2014/09/25,3478.55,84.27,0,3562.82,0,0,1199.5,Win,10457.03,0,[stopout],5502112971
Closed position,40740869,EURGBP,0.68,Buy,0.86966,0.78211,2013/07/16 16:50:28,2014/09/25 09:49:56,2013/07/16,2014/09/25,-9695.76,-1092.9,0,-10788.66,0,0,-875.5,Loss,10456.99,0,[stopout],5502112971
Closed position,40741074,XAUUSD,0.19,Buy,1291.69,1210.05,2013/07/16 16:57:38,2014/09/25 09:49:56,2013/07/16,2014/09/25,-1551.16,-459.5,0,-2010.66,0,0,-816.4,Loss,10456.87,0,[stopout],5502112971
