sep=,
Type,Ticket,Symbol,Lots,Buy/sell,Open price,Close price,Open time,Close time,Open date,Close date,Profit,Swap,Commission,Net profit,T/P,S/L,Pips,Result,Trade duration (hours),Magic number,Order comment,Account
Deposit,40595743,,0,,0,0,2013/07/11 07:39:49,2013/07/11 07:39:49,2013/07/11,2013/07/11,10000,0,0,10000,0,0,0,n/a,0,0,Deposit,5502641235
Closed position,40721770,XAUUSD,1,Sell,1280.68,1279.69,2013/07/16 06:30:22,2013/07/16 07:27:48,2013/07/16,2013/07/16,99,0,0,99,0,0,9.9,Win,0.96,0,,5502641235
Closed position,40721509,XAUUSD,1,Sell,1280.5,1279.78,2013/07/16 06:25:54,2013/07/16 07:40:01,2013/07/16,2013/07/16,72,0,0,72,0,0,7.2,Win,1.24,0,,5502641235
Closed position,40720108,XAUUSD,1,Buy,1279.9,1280.5,2013/07/16 05:08:05,2013/07/16 07:48:18,2013/07/16,2013/07/16,60,0,0,60,1280.5,0,6,Win,2.67,0,[tp],5502641235
Closed position,40706009,USDJPYpro,1,Buy,99.67,99.9,2013/07/16 05:25:05,2013/07/16 09:51:12,2013/07/16,2013/07/16,230.23,0,0,230.23,99.9,0,23,Win,4.44,0,[tp],5502641235
Closed position,40759939,USDJPYpro,1,Sell,99.3,99.365,2013/07/17 03:41:57,2013/07/17 04:33:12,2013/07/17,2013/07/17,-65.42,0,0,-65.42,0,0,-6.5,Loss,0.85,0,,5502641235
Closed position,40727441,XAUUSD,1,Sell,1286.9,1289,2013/07/16 10:55:02,2013/07/17 05:01:27,2013/07/16,2013/07/17,-210,0.47,0,-209.53,1289,0,-21,Loss,18.11,0,[tp],5502641235
Closed position,40730947,XAUUSD,1,Sell,1287.2,1289,2013/07/16 12:54:35,2013/07/17 05:01:27,2013/07/16,2013/07/17,-180,0.47,0,-179.53,1289,0,-18,Loss,16.11,0,[tp],5502641235
Closed position,40740185,XAUUSD,1,Sell,1292.5,1289,2013/07/16 17:19:29,2013/07/17 05:01:27,2013/07/16,2013/07/17,350,0.47,0,350.47,1289,0,35,Win,11.7,0,[tp],5502641235
Closed position,40741848,XAUUSD,1,Sell,1292.5,1289,2013/07/16 17:19:29,2013/07/17 05:01:27,2013/07/16,2013/07/17,350,0.47,0,350.47,1289,0,35,Win,11.7,0,[tp],5502641235
Closed position,40738757,XAUUSD,1,Sell,1293,1289,2013/07/16 17:21:42,2013/07/17 08:33:37,2013/07/16,2013/07/17,400,0.47,0,400.47,1289,0,40,Win,15.2,0,[tp],5502641235
Closed position,40727119,USDJPYpro,1,Buy,99.55,99.584,2013/07/16 10:45:27,2013/07/17 10:15:34,2013/07/16,2013/07/17,34.14,-0.2,0,33.94,99.85,0,3.4,Win,23.5,0,,5502641235
Closed position,40727563,USDJPYpro,1,Buy,99.51,99.582,2013/07/16 13:34:40,2013/07/17 10:15:54,2013/07/16,2013/07/17,72.3,-0.2,0,72.1,0,0,7.2,Win,20.69,0,,5502641235
Closed position,40740581,USDJPYpro,1,Buy,99.2,99.562,2013/07/16 19:35:29,2013/07/17 10:16:31,2013/07/16,2013/07/17,363.59,-0.2,0,363.39,0,0,36.2,Win,14.68,0,,5502641235
Closed position,40750097,USDJPYpro,1.5,Buy,99.1,99.572,2013/07/16 22:40:41,2013/07/17 10:18:21,2013/07/16,2013/07/17,711.04,-0.3,0,710.74,99.6,0,47.2,Win,11.63,0,,5502641235
