sep=,
Type,Ticket,Symbol,Lots,Buy/sell,Open price,Close price,Open time,Close time,Open date,Close date,Profit,Swap,Commission,Net profit,T/P,S/L,Pips,Result,Trade duration (hours),Magic number,Order comment,Account
Deposit,40876069,,0,,0,0,2013/07/19 17:59:40,2013/07/19 17:59:40,2013/07/19,2013/07/19,10000,0,0,10000,0,0,0,n/a,0,0,Deposit,5402681133
Closed position,40891764,XAUUSD,1.5,Buy,1314.93,1315.29,2013/07/22 05:17:21,2013/07/22 05:29:05,2013/07/22,2013/07/22,54,0,0,54,0,0,3.6,Win,0.2,0,,5402681133
Closed position,40891891,EURJPY,1.5,Buy,131.563,131.6,2013/07/22 05:22:21,2013/07/22 05:37:45,2013/07/22,2013/07/22,55.47,0,0,55.47,0,0,3.7,Win,0.26,0,,5402681133
Closed position,40892439,GBPJPY,2.5,Buy,152.965,152.785,2013/07/22 05:38:53,2013/07/22 05:44:19,2013/07/22,2013/07/22,-450.24,0,0,-450.24,0,0,-18.0,Loss,0.09,0,,5402681133
Closed position,40892157,XAUUSD,2,Buy,1315.55,1316.32,2013/07/22 05:29:32,2013/07/22 06:29:40,2013/07/22,2013/07/22,154,0,0,154,0,0,7.7,Win,1,0,,5402681133
Closed position,40892474,EURNZD,2,Buy,1.65895,1.65999,2013/07/22 05:40:07,2013/07/22 07:25:45,2013/07/22,2013/07/22,164.77,0,0,164.77,0,0,10.4,Win,1.76,0,,5402681133
Closed position,40891823,AUDJPYpro,1.5,Sell,92.103,92.033,2013/07/22 05:19:30,2013/07/22 07:26:48,2013/07/22,2013/07/22,105.07,0,0,105.07,0,0,7.0,Win,2.12,0,,5402681133
Closed position,40892361,USDCNH,4,Buy,6.13734,6.13667,2013/07/22 05:34:55,2013/07/22 07:49:55,2013/07/22,2013/07/22,-43.67,0,0,-43.67,0,0,-0.1,Loss,2.25,0,,5402681133
Closed position,40892283,GBPJPY,1.5,Buy,152.921,152.855,2013/07/22 05:33:05,2013/07/22 07:53:15,2013/07/22,2013/07/22,-98.97,0,0,-98.97,0,0,-6.6,Loss,2.34,0,,5402681133
Closed position,40892245,USDCNH,1.5,Buy,6.13724,6.13667,2013/07/22 05:32:10,2013/07/22 07:53:47,2013/07/22,2013/07/22,-13.93,0,0,-13.93,0,0,-0.1,Loss,2.36,0,,5402681133
Closed position,40894799,XAUUSD,2,Buy,1316.13,1317.03,2013/07/22 06:33:04,2013/07/22 08:01:55,2013/07/22,2013/07/22,180,0,0,180,0,0,9.0,Win,1.48,0,,5402681133
Closed position,40892586,EURGBP,2,Buy,0.86056,0.86054,2013/07/22 05:42:32,2013/07/22 08:05:04,2013/07/22,2013/07/22,-6.12,0,0,-6.12,0,0,-0.2,Loss,2.38,0,,5402681133
Closed position,40897461,XAUUSD,2.5,Buy,1317.14,1318.23,2013/07/22 08:02:34,2013/07/22 08:09:36,2013/07/22,2013/07/22,272.5,0,0,272.5,0,0,10.9,Win,0.12,0,,5402681133
Closed position,40892320,EURJPY,1.5,Buy,131.598,131.59,2013/07/22 05:33:39,2013/07/22 08:19:58,2013/07/22,2013/07/22,-11.99,0,0,-11.99,0,0,-0.8,Loss,2.77,0,,5402681133
Closed position,40891629,EURUSD,1,Buy,1.31574,1.31546,2013/07/22 05:13:50,2013/07/22 08:29:00,2013/07/22,2013/07/22,-28,0,0,-28,0,0,-2.8,Loss,3.25,0,,5402681133
Closed position,40892999,AUDCADpro,2.5,Buy,0.95532,0.95562,2013/07/22 05:54:13,2013/07/22 08:31:42,2013/07/22,2013/07/22,72.44,0,0,72.44,0,0,3.0,Win,2.62,0,,5402681133
Closed position,40897804,XAUUSD,2.5,Buy,1317.99,1320.02,2013/07/22 08:19:28,2013/07/22 08:36:39,2013/07/22,2013/07/22,507.5,0,0,507.5,0,0,20.3,Win,0.29,0,,5402681133
Closed position,40892546,USDJPY,2,Buy,100.011,99.986,2013/07/22 05:41:32,2013/07/22 08:48:25,2013/07/22,2013/07/22,-50.01,0,0,-50.01,0,0,-2.5,Loss,3.11,0,,5402681133
Closed position,40898516,XAUUSD,2,Buy,1319.8,1322.12,2013/07/22 08:37:41,2013/07/22 08:55:13,2013/07/22,2013/07/22,464,0,0,464,0,0,23.2,Win,0.29,0,,5402681133
Closed position,40892397,EURNOK,2,Buy,7.85745,7.84597,2013/07/22 05:35:56,2013/07/22 09:25:13,2013/07/22,2013/07/22,-384.78,0,0,-384.78,0,0,-114.8,Loss,3.82,0,,5402681133
Closed position,40910747,AUDCADpro,2,Buy,0.95259,0.95316,2013/07/22 13:50:54,2013/07/22 14:07:31,2013/07/22,2013/07/22,110.21,0,0,110.21,0,0,5.7,Win,0.28,0,,5402681133
Closed position,40913680,AUDCHFpro,4,Buy,0.86696,0.86656,2013/07/22 14:59:29,2013/07/22 15:11:09,2013/07/22,2013/07/22,-170.26,0,0,-170.26,0,0,-4.0,Loss,0.19,0,,5402681133
Closed position,40899606,XAUUSD,2.5,Buy,1319.47,1318.52,2013/07/22 09:09:51,2013/07/22 15:13:54,2013/07/22,2013/07/22,-237.5,0,0,-237.5,0,0,-9.5,Loss,6.07,0,,5402681133
