sep=,
Type,Ticket,Symbol,Lots,Buy/sell,Open price,Close price,Open time,Close time,Open date,Close date,Profit,Swap,Commission,Net profit,T/P,S/L,Pips,Result,Trade duration (hours),Magic number,Order comment,Account
Deposit,40707553,,0,,0,0,2013/07/15 18:07:18,2013/07/15 18:07:18,2013/07/15,2013/07/15,10000,0,0,10000,0,0,0,n/a,0,0,Deposit,5302685739
Closed position,40711057,AUDUSD,0.05,Buy,0.90915,0.90913,2013/07/15 19:58:20,2013/07/15 20:01:24,2013/07/15,2013/07/15,-0.1,0,0,-0.1,0,0,-0.2,Loss,0.05,0,,5302685739
Closed position,40711180,AUDUSD,0.05,Buy,0.90919,0.90909,2013/07/15 20:02:52,2013/07/15 20:03:18,2013/07/15,2013/07/15,-0.5,0,0,-0.5,0,0,-1.0,Loss,0.01,0,,5302685739
Closed position,40711136,EURCAD,0.05,Sell,1.36045,1.3608,2013/07/15 20:00:20,2013/07/15 20:03:24,2013/07/15,2013/07/15,-1.68,0,0,-1.68,0,0,-3.5,Loss,0.05,0,,5302685739
Closed position,40711088,EURJPY,0.05,Sell,130.405,130.446,2013/07/15 19:59:46,2013/07/15 20:03:33,2013/07/15,2013/07/15,-2.05,0,0,-2.05,0,0,-4.1,Loss,0.06,0,,5302685739
Closed position,40711067,AUDUSD,0.05,Sell,0.909,0.90929,2013/07/15 19:59:01,2013/07/15 20:03:38,2013/07/15,2013/07/15,-1.45,0,0,-1.45,0,0,-2.9,Loss,0.08,0,,5302685739
Closed position,40831340,XAUUSD,0.5,Buy,1281.43,1290.76,2013/07/18 13:07:10,2013/07/19 14:19:15,2013/07/18,2013/07/19,466.5,-3.41,0,463.09,0,0,93.3,Win,25.2,0,,5302685739
Closed position,40831453,USDCHF,0.05,Buy,0.94379,0.94182,2013/07/18 13:09:41,2013/07/19 14:19:34,2013/07/18,2013/07/19,-10.46,-0.03,0,-10.49,0,0,-19.7,Loss,25.16,0,,5302685739
Closed position,40831637,USDJPY,0.05,Buy,100.093,100.22,2013/07/18 13:15:45,2013/07/19 14:19:43,2013/07/18,2013/07/19,6.34,-0.06,0,6.28,0,0,12.7,Win,25.07,0,,5302685739
Closed position,40870999,CHFJPYpro,0.1,Buy,106.427,106.448,2013/07/19 14:21:24,2013/07/19 14:22:12,2013/07/19,2013/07/19,2.1,0,0,2.1,0,0,2.1,Win,0.01,0,,5302685739
Closed position,40871127,XAUUSD,0.5,Buy,1291.88,1315.47,2013/07/19 14:27:53,2013/07/22 07:00:13,2013/07/19,2013/07/22,1179.5,-3.44,0,1176.06,0,0,235.9,Win,64.54,0,,5302685739
Closed position,40871056,USDJPY,0.1,Buy,100.287,99.983,2013/07/19 14:25:06,2013/07/22 07:01:25,2013/07/19,2013/07/22,-30.41,-0.13,0,-30.54,0,0,-30.4,Loss,64.61,0,,5302685739
Closed position,40871080,NZDUSD,0.1,Sell,0.79767,0.79323,2013/07/19 14:26:08,2013/07/22 07:01:36,2013/07/19,2013/07/22,44.4,-0.67,0,43.73,0,0,44.4,Win,64.59,0,,5302685739
Closed position,40922507,CHFJPYpro,0.5,Sell,106.255,106.478,2013/07/22 17:32:20,2013/07/22 17:37:35,2013/07/22,2013/07/22,-112.24,0,0,-112.24,0,0,-22.3,Loss,0.09,0,,5302685739
Closed position,40922601,NZDUSD,0.5,Sell,0.79479,0.79577,2013/07/22 17:34:55,2013/07/22 17:37:43,2013/07/22,2013/07/22,-49,0,0,-49,0,0,-9.8,Loss,0.05,0,,5302685739
Closed position,40954023,EURUSD,2,Buy,1.32021,1.31999,2013/07/23 06:06:14,2013/07/23 06:09:18,2013/07/23,2013/07/23,-44,0,0,-44,0,0,-2.2,Loss,0.05,0,,5302685739
Closed position,40922748,USDCHF,1,Sell,0.93437,0.93999,2013/07/22 17:37:19,2013/07/23 12:50:03,2013/07/22,2013/07/23,-597.88,-4.91,0,-602.79,0,0,-56.2,Loss,19.21,0,,5302685739
Closed position,40954021,EURUSD,2,Buy,1.32021,1.31672,2013/07/23 06:06:10,2013/07/23 12:50:16,2013/07/23,2013/07/23,-698,0,0,-698,0,0,-34.9,Loss,6.74,0,,5302685739
Closed position,40922672,EURUSD,1,Buy,1.3207,1.31672,2013/07/22 17:35:31,2013/07/23 12:50:23,2013/07/22,2013/07/23,-398,-3.36,0,-401.36,0,0,-39.8,Loss,19.25,0,,5302685739
Closed position,40954193,XAUUSD,4,Sell,1336.3,1329.18,2013/07/23 06:11:09,2013/07/23 12:50:45,2013/07/23,2013/07/23,2848,0,0,2848,0,0,71.2,Win,6.66,0,,5302685739
Closed position,40954107,USDJPY,4,Buy,99.566,100.018,2013/07/23 06:08:28,2013/07/23 12:50:52,2013/07/23,2013/07/23,1807.67,0,0,1807.67,0,0,45.2,Win,6.71,0,,5302685739
Closed position,40954158,EURUSD,4,Sell,1.31994,1.31686,2013/07/23 06:10:09,2013/07/23 12:51:35,2013/07/23,2013/07/23,1232,0,0,1232,0,0,30.8,Win,6.69,0,,5302685739
Closed position,40953902,USDJPY,2,Buy,99.552,100.023,2013/07/23 06:02:48,2013/07/23 12:51:42,2013/07/23,2013/07/23,941.78,0,0,941.78,0,0,47.1,Win,6.82,0,,5302685739
Closed position,40953978,NZDUSD,2,Sell,0.80017,0.79701,2013/07/23 06:05:01,2013/07/23 12:51:49,2013/07/23,2013/07/23,632,0,0,632,0,0,31.6,Win,6.78,0,,5302685739
Closed position,41016602,XAGUSD,4,Sell,20.33,20.44,2013/07/24 04:33:54,2013/07/24 04:34:11,2013/07/24,2013/07/24,-2200,0,0,-2200,0,0,-11,Loss,0,0,,5302685739
Closed position,41016654,XAGUSD,4,Buy,20.44,20.32,2013/07/24 04:34:21,2013/07/24 04:36:44,2013/07/24,2013/07/24,-2400,0,0,-2400,0,0,-12,Loss,0.04,0,,5302685739
Closed position,41016144,EURUSD,4,Sell,1.3219,1.321,2013/07/24 04:28:52,2013/07/24 04:48:44,2013/07/24,2013/07/24,360,0,0,360,1.321,0,9,Win,0.33,0,[tp],5302685739
Closed position,41016173,USDJPY,4,Buy,99.549,99.7,2013/07/24 04:29:40,2013/07/24 04:57:47,2013/07/24,2013/07/24,605.82,0,0,605.82,99.7,0,15.1,Win,0.47,0,[tp],5302685739
Closed position,41020040,EURUSD,4,Buy,1.32064,1.321,2013/07/24 05:16:47,2013/07/24 07:05:31,2013/07/24,2013/07/24,144,0,0,144,1.321,0,3.6,Win,1.81,0,[tp],5302685739
Closed position,41016869,XAGUSD,4,Sell,20.32,20.25,2013/07/24 04:37:16,2013/07/24 07:39:28,2013/07/24,2013/07/24,1400,0,0,1400,20.25,0,7,Win,3.04,0,[tp],5302685739
Closed position,41016302,XAUUSD,4,Buy,1344.49,1344.7,2013/07/24 04:30:21,2013/07/24 10:35:14,2013/07/24,2013/07/24,84,0,0,84,1344.7,0,2.1,Win,6.08,0,[tp],5302685739
Closed position,41562765,USDJPY,3,Buy,97.936,97.95,2013/08/06 06:05:12,2013/08/06 06:25:45,2013/08/06,2013/08/06,42.88,0,0,42.88,97.95,0,1.4,Win,0.34,0,[tp],5302685739
