5202686332,5202685441
5302610141,5302455018
5302680219,5302520084
5302686745,5302615074
5302686877,5302615124
5304610826,5302615173
5304610867,5302615231
5304680175,5302615520
5304680696,5302615561
5304680787,5302640106
5304680969,5302640585
5304681728,5302641070
5304681801,5302641211
5304681983,5302641245
5304682015,5302680227
5402525116,5302680540
5402525165,5302680631
5402525181,5302680920
5402615057,5302685051
5402615123,5302685374
5402615248,5302685549
5402615321,5302685788
5402615354,5302685861
5402615370,5302685952
5402615495,5302686158
5402615651,5302686190
5402615669,5302686372
5402615792,5302686380
5402615800,5302686463
5402615826,5302686620
5402615933,5302686687
5402615974,5302686885
5402680192,5302687073
5402685043,5304610032
5402685076,5304610347
5402685340,5304610941
5402685589,5304611147
5402685878,5304680027
5402685985,5304680191
5402686033,5304680704
5402686090,5304681116
5402686249,5304681264
5402686272,5304681488
5402686355,5304681694
5402686363,5309611480
5402686405,5402460058
5402686413,5402460330
5402686561,5402465040
5402686579,5402465297
5402686629,5402470347
5402686660,5402475288
5402686678,5402520117
5302525067,5402525082
5302525182,5402610199
5302615462,5402610231
5302680201,5402610272
5302681159,5402610371
5302685739,5402610462
5302685762,5402610645
5302685911,5402615602
5302686984,5402615750
5304680324,5402615859
5402455033,5402615875
5402525157,5402640113
5402615099,5402640220
5402615107,5402640519
5402615131,5402640824
5402615156,5402641301
5402615404,5402641525
5402615453,5402680382
5402615479,5402680689
5402615537,5402680705
5402615578,5402680713
5402615644,5402680895
5402615925,5402680978
5402616006,5402681018
5402685068,5402681026
5402685084,5402681067
5402685092,5402681083
5402685175,5402681133
5402685241,5402681182
5402685258,5402681216
5402685332,5402681307
5402685399,5402685696
5402685415,5402685928
5402685423,5402686306
5402685449,5402686389
5402685472,5402686397
5402685480,5404610155
5402685514,5404610197
5402685522,5404611013
5402685530,5404680224
5402685548,5404680505
5402685555,5404680521
5402685613,5404680786
5402685639,5404681024
5402685803,5404681503
5402685886,5502042111
5402685902,5502112971
5402685977,5502460032
5402686025,5502460040
5402686058,5502495020
5402686207,5502610628
5402686215,5502610669
5402686223,5502615130
5402686280,5502615197
5402686462,5502615601
5402686488,5502615809
5402686538,5502640203
5402686587,5502640567
5402686645,5502640633
5402686702,5502641235
5402686728,5502680274
,5502680332
,5502680464
,5502685117
,5502685562
,5502685786
,5502685950
,5502686123
,5502686230
,5502686362
,5602465139
,5602470188
,5602470378
,5602475419
,5602615147
,5602615733
,5602640590
,5602640715
,5602640806
,5602640897
,5602640905
,5602641259
,5602680521
,5602685512
,5602685538
,5602685686
,5602685769
,5602685843
,5602686080
