,,Open,High,Low,Close,,,https://www.exness.com/intl/th/history_quotes/,,,,,GMT
2011.06.14,0:00,1.44156,1.44972,1.43774,1.44468,0,,,,,,,
2011.06.15,0:00,1.44471,1.44483,1.41559,1.41849,0,,,,,,,
2011.06.16,0:00,1.41813,1.42205,1.40732,1.41974,0,,,,,,,
2011.06.17,0:00,1.41976,1.43387,1.41273,1.43064,0,,,,,,,
2011.06.19,0:00,1.42847,1.42943,1.4259,1.42825,0,,,,,,,
2011.06.20,0:00,1.42838,1.43277,1.4191,1.43223,0,,,,,,,
2011.06.21,0:00,1.43225,1.44311,1.43038,1.43762,0,,,,,,,
2011.06.22,0:00,1.43784,1.44413,1.43094,1.4315,0,,,,,,,
2011.06.23,0:00,1.43142,1.43325,1.4126,1.42703,0,,,,,,,
2011.06.24,0:00,1.4271,1.4306,1.41429,1.41848,0,,,,,,,
